frame,sam2_label,gt_bird_id,iou,video_frame_idx,gt_frame_idx
0,1,14,0.0031007751937984496,0,0
0,1,38,0.0,0,0
0,1,75,0.6983435047951178,0,0
0,1,113,0.0,0,0
0,2,14,0.0,0,0
0,2,38,0.0,0,0
0,2,75,0.00027624309392265195,0,0
0,2,113,0.8050473186119874,0,0
0,3,14,0.0,0,0
0,3,38,0.803062797399638,0,0
0,3,75,0.0,0,0
0,3,113,0.0,0,0
0,4,14,0.789293067947838,0,0
0,4,38,0.0,0,0
0,4,75,0.0,0,0
0,4,113,0.0,0,0
750,1,14,0.0036892720941800695,750,738
750,1,38,0.0,750,738
750,1,75,0.26866817155756206,750,738
750,1,113,0.0,750,738
750,2,14,0.0,750,738
750,2,38,0.0,750,738
750,2,75,0.0,750,738
750,2,113,0.800513698630137,750,738
750,3,14,0.0,750,738
750,3,38,0.04580445512902483,750,738
750,3,75,0.0,750,738
750,3,113,0.0,750,738
750,4,14,0.315878073708892,750,738
750,4,38,0.0,750,738
750,4,75,0.0,750,738
750,4,113,0.0017885659533695304,750,738
1500,1,14,0.005846121724605908,1500,1488
1500,1,38,0.0,1500,1488
1500,1,75,0.44504071058475203,1500,1488
1500,1,113,0.0,1500,1488
1500,2,14,0.0,1500,1488
1500,2,38,0.0,1500,1488
1500,2,75,0.0,1500,1488
1500,2,113,0.35773480662983426,1500,1488
1500,3,14,0.0,1500,1488
1500,3,38,0.6881299243529596,1500,1488
1500,3,75,0.0,1500,1488
1500,3,113,0.0,1500,1488
1500,4,14,0.6344071824663322,1500,1488
1500,4,38,0.0,1500,1488
1500,4,75,0.037455760912308296,1500,1488
1500,4,113,0.0,1500,1488
2251,1,14,0.666891058005161,2251,2239
2251,1,38,0.0,2251,2239
2251,1,75,0.0,2251,2239
2251,1,113,0.0,2251,2239
2251,2,14,0.0,2251,2239
2251,2,38,0.0,2251,2239
2251,2,75,0.0,2251,2239
2251,2,113,0.0,2251,2239
2251,3,14,0.0,2251,2239
2251,3,38,0.2661124794745484,2251,2239
2251,3,75,0.0,2251,2239
2251,3,113,0.0,2251,2239
2251,4,14,0.00423873658303138,2251,2239
2251,4,38,0.0,2251,2239
2251,4,75,0.051690886257624684,2251,2239
2251,4,113,0.0,2251,2239
3000,1,14,0.7156931738212526,3000,2988
3000,1,38,0.0,3000,2988
3000,1,75,0.0,3000,2988
3000,1,113,0.0,3000,2988
3000,2,14,0.0,3000,2988
3000,2,38,0.0,3000,2988
3000,2,75,0.0,3000,2988
3000,2,113,0.7476503759398496,3000,2988
3000,3,14,0.0,3000,2988
3000,3,38,0.5282020834457818,3000,2988
3000,3,75,0.0,3000,2988
3000,3,113,0.0,3000,2988
3000,4,14,0.0,3000,2988
3000,4,38,0.0,3000,2988
3000,4,75,0.0,3000,2988
3000,4,113,0.0,3000,2988
3750,1,14,0.807185628742515,3750,3738
3750,1,38,0.0,3750,3738
3750,1,75,0.0,3750,3738
3750,1,113,0.0,3750,3738
3750,2,14,0.0,3750,3738
3750,2,38,0.0,3750,3738
3750,2,75,0.0,3750,3738
3750,2,113,0.0,3750,3738
3750,3,14,0.0043754825899915435,3750,3738
3750,3,38,0.0,3750,3738
3750,3,75,0.924872355944566,3750,3738
3750,3,113,0.0,3750,3738
3750,4,14,0.0,3750,3738
3750,4,38,0.0,3750,3738
3750,4,75,0.0,3750,3738
3750,4,113,0.779050042408821,3750,3738
