frame_idx,sam2_label,gt_bird_id,iou,is_error,iou_threshold
0,2,113,0.805,0,0.5
0,3,38,0.8031,0,0.5
0,4,14,0.7893,0,0.5
0,1,75,0.6983,0,0.5
1,3,38,0.8293,0,0.5
1,4,14,0.8168,0,0.5
1,2,113,0.7281,0,0.5
1,1,75,0.6687,0,0.5
2,3,38,0.8367,0,0.5
2,4,14,0.8104,0,0.5
2,2,113,0.7751,0,0.5
2,1,75,0.6654,0,0.5
3,3,38,0.7809,0,0.5
3,4,14,0.6686,0,0.5
3,1,75,0.6145,0,0.5
3,2,113,0.1404,1,0.5
4,3,38,0.7409,0,0.5
4,4,14,0.6173,0,0.5
4,1,75,0.584,0,0.5
4,2,113,0.2172,1,0.5
5,3,38,0.7457,0,0.5
5,4,14,0.5994,0,0.5
5,1,75,0.524,0,0.5
5,2,113,0.2958,1,0.5
6,3,38,0.7495,0,0.5
6,4,14,0.6279,0,0.5
6,1,75,0.5583,0,0.5
6,2,113,0.3497,1,0.5
7,3,38,0.7724,0,0.5
7,4,14,0.6613,0,0.5
7,1,75,0.5002,0,0.5
7,2,113,0.3825,1,0.5
8,3,38,0.7796,0,0.5
8,4,14,0.6825,0,0.5
8,1,75,0.466,1,0.5
8,2,113,0.4558,1,0.5
9,3,38,0.7867,0,0.5
9,4,14,0.6831,0,0.5
9,1,75,0.4993,1,0.5
9,2,113,0.4849,1,0.5
10,3,38,0.7874,0,0.5
10,4,14,0.616,0,0.5
10,1,75,0.511,0,0.5
10,2,113,0.4952,1,0.5
11,3,38,0.7846,0,0.5
11,4,14,0.5366,0,0.5
11,2,113,0.5206,0,0.5
11,1,75,0.5136,0,0.5
12,3,38,0.7806,0,0.5
12,2,113,0.5596,0,0.5
12,1,75,0.5431,0,0.5
12,4,14,0.4701,1,0.5
13,3,38,0.7757,0,0.5
13,1,75,0.5427,0,0.5
13,2,113,0.5134,0,0.5
13,4,14,0.4127,1,0.5
14,3,38,0.7853,0,0.5
14,1,75,0.5513,0,0.5
14,2,113,0.4295,1,0.5
14,4,14,0.3685,1,0.5
15,3,38,0.7713,0,0.5
15,1,75,0.5519,0,0.5
15,4,14,0.3735,1,0.5
15,2,113,0.3517,1,0.5
16,3,38,0.7658,0,0.5
16,1,75,0.5677,0,0.5
16,4,14,0.367,1,0.5
16,2,113,0.3037,1,0.5
17,3,38,0.7971,0,0.5
17,1,75,0.5889,0,0.5
17,4,14,0.385,1,0.5
17,2,113,0.275,1,0.5
18,3,38,0.7743,0,0.5
18,1,75,0.6049,0,0.5
