abs_frame,local_frame,block_id,label,logit_score,continuity_score,ref_iou_score,combined_score,flagged,area_px,area_ratio,centroid_jump,reason
0,0,0,darkest,0.1,1.0,1.0,0.64,0,5669,1.0,,no_prev
0,0,0,brownish,0.1,1.0,1.0,0.64,0,3158,1.0,,no_prev
0,0,0,orange,0.1,1.0,1.0,0.64,0,29811,1.0,,no_prev
0,0,0,spotted,0.1,1.0,1.0,0.64,0,5732,1.0,,no_prev
1,1,0,darkest,0.1,0.9953,0.9628,0.6275,0,5688,1.003,0.7,ok
1,1,0,brownish,0.1,0.97,0.7199,0.547,0,3018,0.956,4.5,ok
1,1,0,orange,0.1,0.9949,0.9786,0.632,0,29938,1.004,0.8,ok
1,1,0,spotted,0.1,0.981,0.9359,0.6151,0,5713,0.997,2.9,ok
2,2,0,darkest,0.1,0.9959,0.9661,0.6286,0,5691,1.001,0.6,ok
2,2,0,brownish,0.1,0.9583,0.4725,0.4692,0,2969,0.984,6.3,ok
2,2,0,orange,0.1,0.9903,0.9697,0.628,0,29366,0.981,1.2,ok
2,2,0,spotted,0.1,0.9881,0.8906,0.6036,0,5772,1.01,1.8,ok
3,3,0,darkest,0.1,0.9989,0.9634,0.6287,0,5701,1.002,0.2,ok
3,3,0,brownish,0.1,0.9678,0.3717,0.4419,0,3160,1.064,4.5,ok
3,3,0,orange,0.1,0.997,0.9652,0.6286,0,29401,1.001,0.5,ok
3,3,0,spotted,0.1,0.9904,0.8607,0.5953,0,5700,0.988,1.4,ok
4,4,0,darkest,0.1,0.9934,0.9628,0.6269,0,5776,1.013,0.5,ok
4,4,0,brownish,0.1,0.974,0.2796,0.4161,0,3308,1.047,3.9,ok
4,4,0,orange,0.1,0.9983,0.9586,0.6271,0,29410,1.0,0.2,ok
4,4,0,spotted,0.1,0.9919,0.8514,0.593,0,5654,0.992,1.2,ok
5,5,0,darkest,0.1,0.9991,0.9605,0.6279,0,5784,1.001,0.1,ok
5,5,0,brownish,0.1,0.9758,0.2176,0.398,0,3361,1.016,3.6,ok
5,5,0,orange,0.1,0.9979,0.9524,0.6251,0,29357,0.998,0.3,ok
5,5,0,spotted,0.1,0.9974,0.843,0.5921,0,5641,0.998,0.4,ok
6,6,0,darkest,0.1,0.9988,0.9563,0.6265,0,5779,0.999,0.2,ok
6,6,0,brownish,0.1,0.9784,0.1734,0.3855,0,3311,0.985,3.2,ok
6,6,0,orange,0.1,0.9981,0.9485,0.624,0,29384,1.001,0.3,ok
6,6,0,spotted,0.1,0.988,0.8238,0.5835,0,5776,1.024,1.8,ok
7,7,0,darkest,0.1,0.9996,0.9519,0.6254,0,5775,0.999,0.1,ok
7,7,0,brownish,0.1,0.9875,0.1358,0.377,0,3382,1.021,1.9,ok
7,7,0,orange,0.1,0.9988,0.9456,0.6233,0,29342,0.999,0.2,ok
7,7,0,spotted,0.1,0.9955,0.8068,0.5807,0,5828,1.009,0.7,ok
8,8,0,darkest,0.1,0.9938,0.9494,0.623,0,5704,0.988,0.6,ok
8,8,0,brownish,0.1,0.9681,0.1063,0.3623,0,3179,0.94,3.9,ok
8,8,0,orange,0.1,0.999,0.9425,0.6224,0,29333,1.0,0.2,ok
8,8,0,spotted,0.1,0.9982,0.7908,0.5767,0,5813,0.997,0.3,ok
9,9,0,darkest,0.1,0.9797,0.9132,0.6079,0,5481,0.961,1.1,ok
9,9,0,brownish,0.1,0.9874,0.0832,0.3612,0,3194,1.005,1.9,ref_iou_drift
9,9,0,orange,0.1,0.9974,0.9379,0.6206,0,29277,0.998,0.4,ok
9,9,0,spotted,0.1,0.9831,0.7523,0.5606,0,6010,1.034,1.9,ok
10,10,0,darkest,0.1,0.9899,0.8787,0.6006,0,5372,0.98,1.1,ok
10,10,0,brownish,0.1,0.9902,0.0613,0.3555,0,3179,0.995,1.5,ref_iou_drift
10,10,0,orange,0.1,0.9977,0.9359,0.6201,0,29190,0.997,0.4,ok
10,10,0,spotted,0.1,0.9919,0.7273,0.5558,0,6107,1.016,1.2,ok
11,11,0,darkest,0.1,0.975,0.859,0.5902,0,5301,0.987,3.7,ok
11,11,0,brownish,0.1,0.9902,0.0448,0.3505,0,3186,1.002,1.5,ref_iou_drift
11,11,0,orange,0.1,0.9988,0.9365,0.6206,0,29123,0.998,0.2,ok
11,11,0,spotted,0.1,0.9576,0.7402,0.5494,0,5630,0.922,5.4,ok
12,12,0,darkest,0.1,0.9697,0.8259,0.5787,0,4998,0.943,3.9,ok
12,12,0,brownish,0.1,0.9763,0.0254,0.3405,1,3337,1.047,2.4,ok
12,12,0,orange,0.1,0.9983,0.9355,0.6201,0,29033,0.997,0.3,ok
12,12,0,spotted,0.1,0.9877,0.73,0.5553,0,5769,1.025,0.5,ok
13,13,0,darkest,0.1,0.9963,0.8256,0.5866,0,5031,1.007,0.6,ok
13,13,0,brownish,0.1,0.9899,0.0242,0.3442,1,3321,0.995,1.5,ok
13,13,0,orange,0.1,0.9975,0.9325,0.619,0,28988,0.998,0.4,ok
13,13,0,spotted,0.1,0.9372,0.6284,0.5097,0,6494,1.126,7.0,ok
14,14,0,darkest,0.1,0.9929,0.808,0.5803,0,5087,1.011,1.1,ok
14,14,0,brownish,0.1,0.9896,0.0171,0.342,1,3390,1.021,1.0,ok
14,14,0,orange,0.1,0.9898,0.8937,0.605,0,28986,1.0,1.5,ok
14,14,0,spotted,0.1,0.9279,0.5333,0.4784,0,7430,1.144,9.0,ok
15,15,0,darkest,0.1,0.9816,0.8001,0.5745,0,5238,1.03,2.8,ok
15,15,0,brownish,0.1,0.9948,0.0124,0.3422,1,3384,0.998,0.8,ok
15,15,0,orange,0.1,0.9892,0.8753,0.5994,0,29151,1.006,1.6,ok
15,15,0,spotted,0.1,0.9762,0.5304,0.492,0,7134,0.96,3.6,ok
16,16,0,darkest,0.1,0.9957,0.7887,0.5753,0,5217,0.996,0.6,ok
16,16,0,brownish,0.1,0.98,0.005,0.3355,1,3254,0.962,1.7,ok
16,16,0,orange,0.1,0.9931,0.8631,0.5969,0,28889,0.991,1.0,ok
16,16,0,spotted,0.1,0.9876,0.513,0.4902,0,6962,0.976,1.1,ok
17,17,0,darkest,0.1,0.9908,0.7722,0.5689,0,5248,1.006,1.4,ok
17,17,0,brownish,0.1,0.9946,0.0027,0.3392,1,3221,0.99,0.8,ok
17,17,0,orange,0.1,0.9949,0.8594,0.5963,0,29004,1.004,0.8,ok
17,17,0,spotted,0.1,0.983,0.4922,0.4825,0,7199,1.034,1.6,ok
