video_frame,gt_id,gt_frame,pred_area,gt_area,image,source_rgb_sha256,prediction_sha256,gt_sha256
0,38,0,0,23996,video000000_GT38.jpg,b48d56a74a37a73d5df0cdc9fb9acba3d54ab2313becad2eb98406949a4f7639,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,b7670727b5881ed59f3e5d8182ace14d8664bd03b7e25f8d26e8f760d2ce21a6
162,38,150,0,16224,video000162_GT38.jpg,b75182320602bcc3579b884882545bbccc79af125b0abb7fcc6941675418c1af,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,84b725c1c2df801e6a3af550d62815a6c2e36aa0e92477448eeeff06af722ecb
325,38,313,0,16564,video000325_GT38.jpg,a45b530c8fc958b0f19820bc429e20875033e9919dd8e3bd2c8e638964cbb281,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,ea338719a2fe291e7e375323d6c636b81385fa5a9622986d7d6dfd93cbf1e1dc
330,38,318,0,0,video000330_GT38.jpg,03f0eddf7115b15a61ce368a0da82814021f9dccfe4170404df9c581a198d438,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,65e68ff139ae82c4d77c1f1431e58d1af314e5facf72dd763014e9205e35aba6
449,38,437,2244,1664,video000449_GT38.jpg,2b747980dfe96d171580343a8f24e5bf9d9f90750c8f0552401e66a5cca8a4c7,c4d80099f7f83827667a43373eaa3c7367c584e9f4661cb04c6c92e503dae7ee,45057c2a14f932625bf4dceb665297adcbc9bb732aec8e376eefba63b2817608
511,38,499,6417,2904,video000511_GT38.jpg,2254c6fd51a8a8d95fe15f9856e01727e958778451bd244e2a13fb073eee0ef5,8aae5ea9930be3429529ec83b5a7bf1d42862ba523953cc8f13fe98c7b395cd6,e825c025d6015725355c8a94b151a5291298524d126b0ef806b81554eb9ff841
516,38,504,0,0,video000516_GT38.jpg,11730e2abd2593406d42e85c0b6f804c07bf2a8e9be4c69bd1a87e59a905ad68,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,a4838cf32d73af7bfa906ec3fbd561c273f37075a4baea1831203d82ce426717
573,38,561,0,0,video000573_GT38.jpg,7144b6cad80ca244b9f60933b4f30e6434b746875bbc73f6e982970817bf8c7f,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,2a669628c329685a79d5815a0016c3e5bf3ad8dfd572cc49ed87fe2a6d46aca3
630,38,618,0,0,video000630_GT38.jpg,6b62d34125f18a63d11c12ab195d8cc291028314aca618639382429694e0aa02,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,7e877b01a98fa2ad8469bc4b64e2c5c3d3ec4c94dcc84e1eeecd1920d4cfc964
635,38,623,8412,5668,video000635_GT38.jpg,82143627b06c424a67e3f3a3295604907a74f9acc55ecb0d796c1168b677181e,d9cae2796c27ee0507c223fb2709dbf716879a96a500c5a40ce7711b875f9d36,765250450afac48880f4293f63da84fddc20c3cd40d769ecdea8ef73c0b2a7ff
322,38,310,0,30132,video000322_GT38.jpg,0c40d31d09de94e0d24a94318c71476abfde8834a7c0c94563eb66f7837c6a2e,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,5f384c82a8117dd8e0eaaf4f5c265a70d6198aedb1c13355f6d51b42797bccfe
327,38,315,0,0,video000327_GT38.jpg,140454d897fd5efa9b734459c50421a836006f5ef2e9074128163b8efdc40aba,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,b09cd1e1409a99dab549872ff49c0c6ddb260806f3b3c3427604324caa5916af
372,38,360,0,0,video000372_GT38.jpg,d1c6ffe5c182d02fbdc8510610daf03bab4f4938f397a5de2284dc5d82530f3a,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,f26c6f5e8b8e11a8218b7a1d857b0bb7ba885637dd51639994d59affe1e5f940
418,38,406,0,0,video000418_GT38.jpg,12eab45ec09989e137bc2a29ff0cbaeb2cdf4fb37368ff31aa916339fcdf5f91,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,d926250ccc71befc77d168af469602aa7e6e6ab7673381f2b76e474a26d86352
423,38,411,2658,1888,video000423_GT38.jpg,71a2ce6e5354554fdba4ab9aa763183e5990f1014a2bdf015de6ce9e8009b4b6,71cb9456edc81d9c0c9db3e933e75d66769ea3f2b2c1eb169e9ac008939d7e13,8ca7ce38efc23db1576cf2c881e47bcb6975e3527b137b27b82af136e6ff569e
3324,38,3312,10505,10204,video003324_GT38.jpg,d8edd5b88f147417650985e069a4a165c6ffe7ad2d469315e6717684cebcf96a,ab5515310ab48ec94cb4089f1db64e870ebf9dd53f2cf31c6af7d15e8020968e,3696e7b7780c9068bf6f670ada6ff1fc06993455d2a41649790313e570a44da6
