event_id,gt_id,reason,start,end,length,decision,notes
GT00001,75,previously_reported_case,663,663,1,unreviewed,
GT00002,75,multiple_substantial_regions,650,676,27,unreviewed,
GT00003,75,multiple_substantial_regions,1438,1443,6,unreviewed,
GT00004,75,multiple_substantial_regions,1491,1496,6,unreviewed,
GT00005,75,multiple_substantial_regions,800,804,5,unreviewed,
GT00006,75,multiple_substantial_regions,784,786,3,unreviewed,
GT00007,75,multiple_substantial_regions,163,164,2,unreviewed,
GT00008,75,multiple_substantial_regions,687,688,2,unreviewed,
GT00009,113,multiple_substantial_regions,2302,2303,2,unreviewed,
GT00010,113,multiple_substantial_regions,2306,2307,2,unreviewed,
GT00011,75,multiple_substantial_regions,131,131,1,unreviewed,
GT00012,75,multiple_substantial_regions,166,166,1,unreviewed,
GT00013,113,multiple_substantial_regions,271,271,1,unreviewed,
GT00014,75,multiple_substantial_regions,925,925,1,unreviewed,
GT00015,75,multiple_substantial_regions,1077,1077,1,unreviewed,
GT00016,75,multiple_substantial_regions,1080,1080,1,unreviewed,
GT00017,75,multiple_substantial_regions,1097,1097,1,unreviewed,
GT00018,113,multiple_substantial_regions,1751,1751,1,unreviewed,
GT00019,75,multiple_substantial_regions,1956,1956,1,unreviewed,
GT00020,75,multiple_substantial_regions,1966,1966,1,unreviewed,
GT00021,38,multiple_substantial_regions,2118,2118,1,unreviewed,
GT00022,113,multiple_substantial_regions,2252,2252,1,unreviewed,
GT00023,113,multiple_substantial_regions,2311,2311,1,unreviewed,
GT00024,75,multiple_substantial_regions,2431,2431,1,unreviewed,
GT00025,75,multiple_substantial_regions,2906,2906,1,unreviewed,
GT00026,75,multiple_substantial_regions,3279,3279,1,unreviewed,
GT00027,75,multiple_substantial_regions,3283,3283,1,unreviewed,
GT00028,14,centroid_jump,3414,3417,4,unreviewed,
GT00029,14,area_change,3414,3417,4,unreviewed,
GT00030,75,centroid_jump,921,923,3,unreviewed,
GT00031,38,area_change,428,429,2,unreviewed,
GT00032,14,centroid_jump,922,923,2,unreviewed,
GT00033,75,area_change,1084,1085,2,unreviewed,
GT00034,75,centroid_jump,1956,1957,2,unreviewed,
GT00035,75,centroid_jump,1966,1967,2,unreviewed,
GT00036,14,area_change,2177,2178,2,unreviewed,
GT00037,14,centroid_jump,2386,2387,2,unreviewed,
GT00038,14,centroid_jump,2906,2907,2,unreviewed,
GT00039,75,centroid_jump,2906,2907,2,unreviewed,
GT00040,14,area_change,2988,2989,2,unreviewed,
GT00041,75,area_change,3284,3285,2,unreviewed,
GT00042,75,centroid_jump,650,650,1,unreviewed,
GT00043,75,centroid_jump,677,677,1,unreviewed,
GT00044,14,area_change,922,922,1,unreviewed,
GT00045,14,centroid_jump,925,925,1,unreviewed,
GT00046,14,area_change,925,925,1,unreviewed,
GT00047,75,area_change,927,927,1,unreviewed,
GT00048,75,area_change,1078,1078,1,unreviewed,
GT00049,14,area_change,1082,1082,1,unreviewed,
GT00050,75,area_change,1082,1082,1,unreviewed,
GT00051,113,centroid_jump,1752,1752,1,unreviewed,
GT00052,113,centroid_jump,2030,2030,1,unreviewed,
GT00053,75,centroid_jump,2030,2030,1,unreviewed,
GT00054,75,area_change,2030,2030,1,unreviewed,
GT00055,38,area_change,2096,2096,1,unreviewed,
GT00056,38,area_change,2119,2119,1,unreviewed,
GT00057,113,area_change,2164,2164,1,unreviewed,
GT00058,113,area_change,2174,2174,1,unreviewed,
GT00059,14,centroid_jump,2175,2175,1,unreviewed,
GT00060,14,area_change,2175,2175,1,unreviewed,
GT00061,14,centroid_jump,2177,2177,1,unreviewed,
GT00062,113,area_change,2255,2255,1,unreviewed,
GT00063,113,centroid_jump,2302,2302,1,unreviewed,
GT00064,113,centroid_jump,2304,2304,1,unreviewed,
GT00065,113,centroid_jump,2312,2312,1,unreviewed,
GT00066,14,centroid_jump,2345,2345,1,unreviewed,
GT00067,14,area_change,2345,2345,1,unreviewed,
GT00068,14,centroid_jump,2529,2529,1,unreviewed,
GT00069,14,area_change,2529,2529,1,unreviewed,
GT00070,14,centroid_jump,2531,2531,1,unreviewed,
GT00071,14,area_change,2531,2531,1,unreviewed,
GT00072,14,centroid_jump,2614,2614,1,unreviewed,
GT00073,14,area_change,2614,2614,1,unreviewed,
GT00074,14,centroid_jump,2812,2812,1,unreviewed,
GT00075,14,area_change,2812,2812,1,unreviewed,
GT00076,14,centroid_jump,2909,2909,1,unreviewed,
GT00077,14,area_change,2909,2909,1,unreviewed,
GT00078,38,area_change,2941,2941,1,unreviewed,
GT00079,38,area_change,2943,2943,1,unreviewed,
GT00080,14,centroid_jump,3005,3005,1,unreviewed,
GT00081,14,area_change,3005,3005,1,unreviewed,
GT00082,75,centroid_jump,3082,3082,1,unreviewed,
GT00083,75,centroid_jump,3085,3085,1,unreviewed,
GT00084,75,area_change,3247,3247,1,unreviewed,
GT00085,75,area_change,3310,3310,1,unreviewed,
GT00086,38,centroid_jump,3413,3413,1,unreviewed,
GT00087,38,area_change,3415,3415,1,unreviewed,
GT00088,38,centroid_jump,3415,3415,1,unreviewed,
GT00089,38,area_change,3649,3649,1,unreviewed,
GT00090,38,centroid_jump,3729,3729,1,unreviewed,
GT00091,38,centroid_jump,3732,3732,1,unreviewed,
GT00092,21,unexpected_label,15,3813,3799,unreviewed,
GT00093,28,unexpected_label,15,3813,3799,unreviewed,
