abs_frame,sam2_label,gt_id,block_id,direction,foreground_logit_score
449,1,14,0,later,0.9721896052360535
449,2,38,0,later,0.9853430986404419
449,3,75,0,later,0.9831612706184387
449,4,113,0,later,0.9853346943855286
450,1,14,0,later,0.9741740226745605
450,2,38,0,later,0.9912421107292175
450,3,75,0,later,0.987148642539978
450,4,113,0,later,0.98786461353302
451,1,14,0,later,0.9774191379547119
451,2,38,0,later,0.9900587201118469
451,3,75,0,later,0.9872414469718933
451,4,113,0,later,0.9870754480361938
452,1,14,0,later,0.9747157692909241
452,2,38,0,later,0.9870660305023193
452,3,75,0,later,0.9889044761657715
452,4,113,0,later,0.9831803441047668
453,1,14,0,later,0.9774264097213745
453,2,38,0,later,0.9873086214065552
453,3,75,0,later,0.9880028963088989
453,4,113,0,later,0.9519738554954529
454,1,14,0,later,0.9799178242683411
454,2,38,0,later,0.9871265888214111
454,3,75,0,later,0.983671247959137
454,4,113,0,later,0.9520626068115234
455,1,14,0,later,0.9800117015838623
455,2,38,0,later,0.9884899854660034
455,3,75,0,later,0.989271342754364
455,4,113,0,later,0.9564549922943115
456,1,14,0,later,0.975211501121521
456,2,38,0,later,0.9910323619842529
456,3,75,0,later,0.9836215972900391
456,4,113,0,later,0.9746100306510925
457,1,14,0,later,0.9785135388374329
457,2,38,0,later,0.9899126887321472
457,3,75,0,later,0.978368878364563
457,4,113,0,later,0.9814149141311646
458,1,14,0,later,0.9778382778167725
458,2,38,0,later,0.9923355579376221
458,3,75,0,later,0.9624214768409729
458,4,113,0,later,0.984165370464325
459,1,14,0,later,0.9803676605224609
459,2,38,0,later,0.9895228147506714
459,3,75,0,later,0.9798678755760193
459,4,113,0,later,0.9880473017692566
460,1,14,0,later,0.9792707562446594
460,2,38,0,later,0.9913066625595093
460,3,75,0,later,0.9858453869819641
460,4,113,0,later,0.9882512092590332
461,1,14,0,later,0.9808450937271118
461,2,38,0,later,0.9907048344612122
461,3,75,0,later,0.9866410493850708
461,4,113,0,later,0.989472508430481
462,1,14,0,later,0.9775285720825195
462,2,38,0,later,0.9915755987167358
