frames_index,video_index,offset_video_minus_frames,status,candidate_video_indices,rgb_sha256
0,0,0,unique_exact,0,b48d56a74a37a73d5df0cdc9fb9acba3d54ab2313becad2eb98406949a4f7639
1,1,0,unique_exact,1,8a1d49a03f463769d8cd94dd8128bf38f6061f3e0b6da8440cbe8793d7e0f7a1
2,2,0,unique_exact,2,37f54730660faad85af2027eca761a55a8112e4fab94a2d2add9ed63307f544f
3,15,12,unique_exact,15,d38f9d88f8244a1999664a9c8abf4310374a75ec7b122315cd47aec5b5d0b313
4,16,12,unique_exact,16,10ed1ec7161759501a626d0fae37e474b062f70f99304b9bf55b7e5b35ed66b3
5,17,12,unique_exact,17,b0f90f17388cf039202077e41c7e9f8e206096beebd1dd454ef08458df0e2090
6,18,12,unique_exact,18,04f5f8d1f391a830106be00155898dc5223f890787ed35141306ee3b7e8a9965
7,19,12,unique_exact,19,5d60d0e319d853b49ab9a40f874fb4ee5b9b9cbab22983da53109aa79f6d0425
8,20,12,unique_exact,20,43a313e2b73145bd83a9c27527e59d25a30106708556f76c03ea882d6854b34c
9,21,12,unique_exact,21,a8639ea4c2142c617a6e2a0cc1ee82388bc90d4576f8059b40deb156229ad3fc
10,22,12,unique_exact,22,ab17ea2200dca6a1ed54137a2cb23df26e8b7399ea3998a64fd819edb59087c2
11,23,12,unique_exact,23,34788615a26fc265196d5d374f915a6f11113b77c74dfd19d003aec592308dbe
12,24,12,unique_exact,24,5e9b890590fb9ea870fe3565a03c8384432b8b2e76b6f59c5e6cda6868a9cc48
13,25,12,unique_exact,25,93c35efa5a6dd02e544d00a4104bb4326294c7a49c4f755970d4bff98421417a
14,26,12,unique_exact,26,4fa83a2082b8eade96c8422241481f3016e599520dbc56cb77eae8daae050710
15,27,12,unique_exact,27,43dea234d45c4aad71d5388306d7c48395db033b50bc90bde21048bf78d5e4d1
16,28,12,unique_exact,28,81076a6e3385a909e6340ad0028dbee7a0a4b19719dfda9d8909a08051f4f865
17,29,12,unique_exact,29,d7ad42e0c5435d7a16aa3991c6111cb55c5b2a391ed51d7c4064640f7124aa76
18,30,12,unique_exact,30,5c85ba10ee1420a21cdec861f2034937a0ca100216ab9acdbb4812ad58c55b45
19,31,12,unique_exact,31,1d0a293a67da08ca63ef3061d89292a1825fb60c982f08b1508055025bc75bd2
20,32,12,unique_exact,32,318f9e6434e54c2f4b3928be9b40b0a4ea447d78386e68ecd43a638c4e258251
21,33,12,unique_exact,33,cabccf25ebc1a20b9f31e42b45b881804482e3a17c748426779942086ab44551
22,34,12,unique_exact,34,6647b30a68150101bdda6143b89352d386ffc31770d50d377144c66543490ca5
23,35,12,unique_exact,35,ce5b0b41e844f6dc6f19dcc5190ac86c4563a38bae55346caf90b484772edec4
24,36,12,unique_exact,36,41f02e7fdffd261f2c180ce18e79f666941c3ecc168fa45fedc3173415d55b70
25,37,12,unique_exact,37,74de0a8ff06455ad5a0917307929cf4c451ca78b2e4d4ec9f331174e59b37ebe
26,38,12,unique_exact,38,2665b31ce2c82895c32d333c49a0fb5faea04fce409d1d18ecc302918399b81b
27,39,12,unique_exact,39,1b1c99980677e6d3284707ec134cf3dbe1db144c4e4afaba3c1ff85f3fc4d6a2
28,40,12,unique_exact,40,18d7a9bcb5a1bebee5a575c04de19cb74a8f6a3269f7f8c4784a83a9367af86a
29,41,12,unique_exact,41,0d4dbac0fdd37f5957a35d8aec856484c78c98f62c7ccb58ee770c6e487a6764
30,42,12,unique_exact,42,b71c336e3fb4d5193e76a9f6e5b663b043390b42d3f5244818fc8a1d5dfa796e
31,43,12,unique_exact,43,8d50467780becf596f439d847ec1ea64351dc7f4984ebb013beab2c68bc6ce41
32,44,12,unique_exact,44,2124568cbb7a1f610baab225b86c2acf83669bd71a2fdb4f86219936b3e4a385
33,45,12,unique_exact,45,8f50aa10db2f902be9a8f5b8b17f91d754831eedcaf82ee0d42a0a4ab3c3fdaf
34,46,12,unique_exact,46,bee1e6faa711a3e295f29d3e39d1114ba4adea832c18b55317292704ae01b94d
35,47,12,unique_exact,47,d61f7f2d9f64678a9be838f629569f5db02c436e6038005fc2afe1b3f34ab0d9
36,48,12,unique_exact,48,ea26ae28df7e5ff7961b1357c0049ac77404bfcfbfeab3a2d817117bededb29e
37,49,12,unique_exact,49,d0c063653a0b3fe2e03251b638913d8b2a957534bef4d0de0660164d1a114be9
