w_cont,w_ref,threshold,n,tp,fp,fn,tn,precision,recall,f1
0.0,1.0,0.1,14328,6351,3922,2324,1731,0.6182225250657062,0.7321037463976945,0.6703609879670678
0.0,1.0,0.15000000000000002,14328,6520,4101,2155,1552,0.6138781658977498,0.7515850144092219,0.675787728026534
0.0,1.0,0.2,14328,6638,4276,2037,1377,0.6082096389957853,0.7651873198847262,0.67772729593139
0.0,1.0,0.25,14328,6722,4354,1953,1299,0.6068977970386421,0.7748703170028819,0.6806743962331022
0.0,1.0,0.30000000000000004,14328,6781,4425,1894,1228,0.6051222559343209,0.781671469740634,0.6821588451285147
0.0,1.0,0.35000000000000003,14328,6835,4515,1840,1138,0.6022026431718062,0.7878962536023055,0.6826466916354558
0.0,1.0,0.4,14328,6895,4714,1780,939,0.5939357395124473,0.7948126801152737,0.6798461841845789
0.0,1.0,0.45,14328,6945,4798,1730,855,0.5914161628204037,0.8005763688760807,0.6802821040258596
0.0,1.0,0.5,14328,6988,4882,1687,771,0.5887110362257792,0.8055331412103747,0.6802628376733999
0.0,1.0,0.55,14328,7020,4946,1655,707,0.5866622095938493,0.809221902017291,0.6801996027324257
0.0,1.0,0.6000000000000001,14328,7062,4995,1613,658,0.5857178402587708,0.8140634005763688,0.6812656762492764
0.0,1.0,0.65,14328,7128,5033,1547,620,0.5861360085519283,0.821671469740634,0.6842004223459397
0.0,1.0,0.7000000000000001,14328,7223,5276,1452,377,0.5778862308984719,0.8326224783861671,0.6822518182676868
0.0,1.0,0.75,14328,7298,5440,1377,213,0.572931386402889,0.8412680115273775,0.681641993181712
0.0,1.0,0.8,14328,7415,5527,1260,126,0.5729408128573636,0.8547550432276657,0.6860341397973816
0.0,1.0,0.8500000000000001,14328,7531,5586,1144,67,0.5741404284516276,0.8681268011527378,0.6911710719530102
0.0,1.0,0.9,14328,7662,5614,1013,39,0.5771316661645074,0.8832276657060518,0.6981003143364767
