label,distance_bin_start,rows,evaluated,mean_iou,error_rate
brownish,-50,1,1,0.0,1.0
brownish,0,294,294,0.4403869685240565,0.445578231292517
brownish,50,252,252,0.5080340371816612,0.43253968253968256
brownish,100,250,250,0.5761943241911127,0.256
brownish,150,247,247,0.5819187596734153,0.21862348178137653
brownish,200,250,250,0.4828296692727492,0.404
brownish,250,250,250,0.4217526887608533,0.476
brownish,300,250,250,0.497515067497592,0.376
brownish,350,250,250,0.43475895109288987,0.524
brownish,400,247,247,0.30769316272271113,0.680161943319838
brownish,450,250,250,0.3322035021050782,0.624
brownish,500,250,250,0.19386685632265555,0.76
brownish,550,250,250,0.1021192917790142,0.908
brownish,600,250,250,0.07476362600165158,0.928
brownish,650,226,226,0.10334015830833482,0.911504424778761
brownish,700,209,209,0.1937361513418564,0.7607655502392344
darkest,0,199,199,0.48604778468576404,0.3065326633165829
darkest,50,235,235,0.40284014949746927,0.5531914893617021
darkest,100,228,228,0.37442410490869815,0.5526315789473685
darkest,150,222,222,0.29587317152736986,0.7072072072072072
darkest,200,235,235,0.3928958871178943,0.5574468085106383
darkest,250,207,207,0.42452606058643955,0.4830917874396135
darkest,300,247,247,0.3247891188445642,0.5951417004048583
darkest,350,250,250,0.4040963376918612,0.516
darkest,400,248,248,0.3809901375060751,0.5645161290322581
darkest,450,250,250,0.3523462326655863,0.596
darkest,500,250,250,0.2628585386234529,0.724
darkest,550,250,250,0.26551223173902666,0.668
darkest,600,250,250,0.21793550406939532,0.784
darkest,650,250,250,0.16537305754404985,0.796
darkest,700,246,246,0.24292562790099806,0.7439024390243902
orange,-50,1,1,0.3992351640250645,1.0
orange,0,294,294,0.44532126931600163,0.5238095238095238
orange,50,252,252,0.4279335280974914,0.5793650793650794
orange,100,250,250,0.40194655231952603,0.56
orange,150,250,250,0.44914634465496245,0.428
orange,200,250,250,0.2581228848313146,0.78
orange,250,239,239,0.31554679484454684,0.6234309623430963
orange,300,189,189,0.25651755627661554,0.7513227513227513
orange,350,150,150,0.41222867729700546,0.49333333333333335
orange,400,240,240,0.22610424918704955,0.7625
orange,450,250,250,0.21385112665868786,0.784
orange,500,203,203,0.28467301227241404,0.6650246305418719
orange,550,188,188,0.26238552629746426,0.6276595744680851
orange,600,200,200,0.17405576913993337,0.82
orange,650,166,166,0.2597646683416726,0.6325301204819277
orange,700,219,219,0.22439812712600724,0.7899543378995434
spotted,-50,1,1,0.0,1.0
spotted,0,293,293,0.29008964464148135,0.6279863481228669
spotted,50,252,252,0.39377420919173595,0.49206349206349204
spotted,100,245,245,0.3332420611639125,0.6081632653061224
spotted,150,233,233,0.36690652432040066,0.5579399141630901
spotted,200,250,250,0.3889996905136598,0.464
spotted,250,233,233,0.3519702267322736,0.5450643776824035
spotted,300,250,250,0.3134457253348853,0.668
spotted,350,250,250,0.4132670580681023,0.444
spotted,400,250,250,0.413652483194738,0.424
spotted,450,250,250,0.3583360269941864,0.544
spotted,500,250,250,0.26138658716123797,0.68
spotted,550,250,250,0.21258172169722764,0.724
spotted,600,250,250,0.21975442174982993,0.76
spotted,650,250,250,0.24243889945418015,0.664
spotted,700,248,248,0.2841604385099455,0.6330645161290323
