video_frame,gt_frame,block_id,a,b,direct_a,direct_b,cross_a,cross_b,gain
3002,2990,4,38,75,0.0,0.0,0.5980166460067292,0.8623389054114108,0.7301777757090699
3003,2991,4,38,75,0.0,0.0,0.7596282812799386,0.9126290982186178,0.8361286897492782
3004,2992,4,38,75,0.0,0.0,0.6011693664334323,0.8872762948678914,0.7442228306506619
3005,2993,4,38,75,0.0,0.0,0.6881720430107527,0.9116806061905783,0.7999263246006656
3006,2994,4,38,75,0.0,0.0,0.6127398461088925,0.9104439123227114,0.761591879215802
3078,3066,4,38,75,0.0,0.0,0.6855312072001565,0.8351576658209496,0.7603444365105531
3079,3067,4,38,75,0.0,0.0,0.5233776626147926,0.8004413886766828,0.6619095256457377
3087,3075,4,38,75,0.0,0.0,0.7568466455334407,0.9158806544754572,0.8363636500044489
3088,3076,4,38,75,0.0,0.0,0.5662650602409639,0.9392391205182009,0.7527520903795824
3089,3077,4,38,75,0.0,0.0,0.5838718741219444,0.9379167417552712,0.7608943079386078
3090,3078,4,38,75,0.0,0.0,0.8510460948570476,0.9357458713112535,0.8933959830841506
3091,3079,4,38,75,0.0,0.0,0.7777674331998883,0.9403717993686426,0.8590696162842655
3092,3080,4,38,75,0.0,0.0,0.8596350689808634,0.9383592416209902,0.8989971553009268
3093,3081,4,38,75,0.0,0.0,0.8413176155839813,0.9287101248266297,0.8850138702053055
3094,3082,4,38,75,0.0,0.0,0.8884780534351145,0.908745608204349,0.8986118308197317
3095,3083,4,38,75,0.0,0.0,0.8300786203398428,0.8907119283356907,0.8603952743377667
3097,3085,4,38,75,0.0,0.0,0.8392246294184721,0.8652439024390244,0.8522342659287483
3099,3087,4,38,75,0.0,0.0,0.8193909260410193,0.8853167888700884,0.8523538574555538
3100,3088,4,38,75,0.0,0.0,0.8120123839009288,0.8705621301775148,0.8412872570392218
3101,3089,4,38,75,0.0,0.0,0.8281090723751274,0.8862910798122066,0.857200076093667
3102,3090,4,38,75,0.0,0.0,0.7746599681411591,0.8647069085833915,0.8196834383622753
3103,3091,4,38,75,0.0,0.0,0.7674829588487756,0.8766285562350439,0.8220557575419097
3104,3092,4,38,75,0.0,0.0,0.7964681618973962,0.8522122421823021,0.8243402020398491
3105,3093,4,38,75,0.0,0.0,0.7891878236705823,0.8733486746782579,0.8312682491744201
3106,3094,4,38,75,0.0,0.0,0.8078950594581341,0.8546695095948827,0.8312822845265084
3107,3095,4,38,75,0.0,0.0,0.8274288781535158,0.8604862719153159,0.8439575750344159
3108,3096,4,38,75,0.0,0.0,0.7839521554946424,0.9009091743961797,0.842430664945411
3109,3097,4,38,75,0.0,0.0,0.7936632626341974,0.901994140440412,0.8478287015373047
3110,3098,4,38,75,0.0,0.0,0.782495101241019,0.881135752064582,0.8318154266528004
3111,3099,4,38,75,0.0,0.0,0.8007549204637369,0.8774986246103063,0.8391267725370215
3112,3100,4,38,75,0.0,0.0,0.8172574883209673,0.873886970743231,0.8455722295320991
3113,3101,4,38,75,0.0,0.0,0.8142493638676844,0.8692273730684327,0.8417383684680586
3114,3102,4,38,75,0.0,0.0,0.8328345446772125,0.9030244417091613,0.8679294931931869
3115,3103,4,38,75,0.0,0.0,0.8459636363636364,0.8696583026462277,0.8578109695049321
3116,3104,4,38,75,0.0,0.0,0.8513432835820895,0.8760627574721711,0.8637030205271303
3117,3105,4,38,75,0.0,0.0,0.8487677942752181,0.9050149142431022,0.8768913542591601
3118,3106,4,38,75,0.0,0.0,0.80129051180525,0.9284755512943432,0.8648830315497966
3119,3107,4,38,75,0.0,0.0,0.7990052662375658,0.8217716984204527,0.8103884823290093
3120,3108,4,38,75,0.0,0.0,0.80192750287687,0.8766408762931409,0.8392841895850054
3121,3109,4,38,75,0.0,0.0,0.8202657322236823,0.906283280085197,0.8632745061544396
3122,3110,4,38,75,0.0,0.0,0.8262897114543865,0.9204534253326762,0.8733715683935313
3123,3111,4,38,75,0.0,0.0,0.8320820098180768,0.9094525280016749,0.8707672689098758
3124,3112,4,38,75,0.0,0.0,0.8269643623872907,0.9347272341328805,0.8808457982600856
3125,3113,4,38,75,0.0,0.0,0.8192654192654193,0.928733498349835,0.8739994588076272
3126,3114,4,38,75,0.0,0.0,0.815435319967042,0.8837162636701114,0.8495757918185767
3127,3115,4,38,75,0.0,0.0,0.8143250688705234,0.9204857444561774,0.8674054066633503
3128,3116,4,38,75,0.0,0.0,0.8106541540160088,0.8918173168411037,0.8512357354285562
3129,3117,4,38,75,0.0,0.0,0.805148076390811,0.9027573688304953,0.8539527226106531
3130,3118,4,38,75,0.0,0.0,0.8091887417218543,0.8812596799173981,0.8452242108196262
3131,3119,4,38,75,0.0,0.0,0.8050906072762485,0.9011833808413233,0.8531369940587858
3132,3120,4,38,75,0.0,0.0,0.8090263267864605,0.9094149908592322,0.8592206588228464
3133,3121,4,38,75,0.0,0.0,0.807681525091113,0.8746318114874816,0.8411566682892972
3134,3122,4,38,75,0.0,0.0,0.8076385002797986,0.8329127613554435,0.820275630817621
3135,3123,4,38,75,0.0,0.0,0.8054279749478079,0.8866385372714487,0.8460332561096283
3136,3124,4,38,75,0.0,0.0,0.7859959211420802,0.9210922598132718,0.853544090477676
3137,3125,4,38,75,0.0,0.0,0.7859377124983,0.8757312533238788,0.8308344829110894
3138,3126,4,38,75,0.0,0.0,0.7914569446333832,0.8270204224122883,0.8092386835228358
3139,3127,4,38,75,0.0,0.0,0.7945975593034417,0.8867996201329534,0.8406985897181976
3140,3128,4,38,75,0.0,0.0,0.7955046883618312,0.8819211409395973,0.8387129146507142
3141,3129,4,38,75,0.0,0.0,0.7947972879479729,0.918958639512912,0.8568779637304424
3142,3130,4,38,75,0.0,0.0,0.8014283713765579,0.9202966677112713,0.8608625195439146
3143,3131,4,38,75,0.0,0.0,0.7983689538807649,0.9454102183591265,0.8718895861199457
3144,3132,4,38,75,0.0,0.0,0.7609441471112941,0.9210635216221809,0.8410038343667374
3145,3133,4,38,75,0.0,0.0,0.7503098746729101,0.9080728901557569,0.8291913824143335
3146,3134,4,38,75,0.0,0.0,0.7435300561413117,0.9201028167505623,0.8318164364459371
3147,3135,4,38,75,0.0,0.0,0.741690408357075,0.9316212548282702,0.8366558315926726
3148,3136,4,38,75,0.0,0.0,0.8398479087452472,0.7238490109700267,0.781848459857637
3149,3137,4,38,75,0.0,0.0,0.851766865534649,0.7616895874263261,0.8067282264804876
3150,3138,4,38,75,0.0,0.0,0.7630161579892281,0.8465455387107974,0.8047808483500127
3151,3139,4,38,75,0.0,0.0,0.7792135612060581,0.862527208156719,0.8208703846813885
3154,3142,4,38,75,0.0,0.0,0.7864459099200225,0.8028095188174861,0.7946277143687543
3155,3143,4,38,75,0.0,0.0,0.7914325842696629,0.8014713094654242,0.7964519468675435
3156,3144,4,38,75,0.0,0.0,0.7907303370786517,0.8065436754663133,0.7986370062724826
3157,3145,4,38,75,0.0,0.0,0.7910008410428931,0.8851343423677109,0.838067591705302
3158,3146,4,38,75,0.0,0.0,0.7907662082514735,0.8356542755207734,0.8132102418861235
3159,3147,4,38,75,0.0,0.0,0.7949295774647888,0.8570924903043836,0.8260110338845862
3161,3149,4,38,75,0.0,0.0,0.7875835189309577,0.8205445544554455,0.8040640366932016
3162,3150,4,38,75,0.0,0.0,0.7865325509918972,0.8270594653573377,0.8067960081746175
3163,3151,4,38,75,0.0,0.0,0.7938461538461539,0.86510059309222,0.8294733734691869
3164,3152,4,38,75,0.0,0.0,0.7926778532797115,0.9081803005008348,0.8504290768902731
3165,3153,4,38,75,0.0,0.0,0.7960316359095324,0.8532099866250558,0.8246208112672941
3166,3154,4,38,75,0.0,0.0,0.7949854550491758,0.8596963497361904,0.8273409023926831
3167,3155,4,38,75,0.0,0.0,0.7965842821438489,0.9311326124075128,0.8638584472756808
3168,3156,4,38,75,0.0,0.0,0.8042409773908159,0.902152448657188,0.8531967130240019
3169,3157,4,38,75,0.0,0.0,0.8029473684210526,0.8814086973440997,0.8421780328825761
