video_frame,gt_frame,gt_id,reason,detail
0,0,113,small_disconnected_regions,
1,1,75,small_disconnected_regions,
15,3,75,small_disconnected_regions,
16,4,14,small_disconnected_regions,
16,4,75,small_disconnected_regions,
16,4,75,source_correspondence_uncertain,
17,5,14,small_disconnected_regions,
17,5,75,small_disconnected_regions,
18,6,14,small_disconnected_regions,
18,6,75,small_disconnected_regions,
18,6,113,small_disconnected_regions,
20,8,14,small_disconnected_regions,
20,8,14,source_correspondence_uncertain,
29,17,14,small_disconnected_regions,
29,17,75,small_disconnected_regions,
34,22,38,small_disconnected_regions,
39,27,38,small_disconnected_regions,
40,28,38,small_disconnected_regions,
61,49,113,small_disconnected_regions,
62,50,113,small_disconnected_regions,
81,69,113,small_disconnected_regions,
86,74,38,small_disconnected_regions,
90,78,38,small_disconnected_regions,
94,82,38,small_disconnected_regions,
104,92,38,small_disconnected_regions,
109,97,38,small_disconnected_regions,
110,98,38,small_disconnected_regions,
121,109,14,small_disconnected_regions,
121,109,38,small_disconnected_regions,
122,110,14,small_disconnected_regions,
123,111,14,small_disconnected_regions,
126,114,14,small_disconnected_regions,
127,115,38,small_disconnected_regions,
129,117,38,small_disconnected_regions,
131,119,14,small_disconnected_regions,
131,119,75,multiple_substantial_regions,
131,119,75,source_correspondence_uncertain,
132,120,75,small_disconnected_regions,
133,121,14,small_disconnected_regions,
136,124,75,small_disconnected_regions,
137,125,75,small_disconnected_regions,
137,125,75,source_correspondence_uncertain,
139,127,14,small_disconnected_regions,
140,128,14,small_disconnected_regions,
141,129,14,small_disconnected_regions,
141,129,14,source_correspondence_uncertain,
143,131,14,small_disconnected_regions,
145,133,75,small_disconnected_regions,
146,134,38,small_disconnected_regions,
148,136,38,small_disconnected_regions,
149,137,38,small_disconnected_regions,
150,138,38,small_disconnected_regions,
152,140,14,small_disconnected_regions,
152,140,38,small_disconnected_regions,
153,141,14,small_disconnected_regions,
153,141,38,small_disconnected_regions,
163,151,75,multiple_substantial_regions,
164,152,75,multiple_substantial_regions,
165,153,38,small_disconnected_regions,
165,153,75,small_disconnected_regions,
166,154,75,multiple_substantial_regions,
167,155,75,small_disconnected_regions,
167,155,75,source_correspondence_uncertain,
169,157,75,multiple_substantial_regions,
169,157,75,source_correspondence_uncertain,
170,158,14,small_disconnected_regions,
170,158,75,small_disconnected_regions,
170,158,75,source_correspondence_uncertain,
171,159,14,small_disconnected_regions,
171,159,75,small_disconnected_regions,
172,160,75,small_disconnected_regions,
172,160,75,source_correspondence_uncertain,
173,161,14,small_disconnected_regions,
173,161,75,small_disconnected_regions,
173,161,75,source_correspondence_uncertain,
174,162,14,small_disconnected_regions,
174,162,14,source_correspondence_uncertain,
174,162,75,small_disconnected_regions,
174,162,75,source_correspondence_uncertain,
175,163,75,small_disconnected_regions,
175,163,75,source_correspondence_uncertain,
176,164,75,small_disconnected_regions,
176,164,75,source_correspondence_uncertain,
177,165,75,small_disconnected_regions,
178,166,75,small_disconnected_regions,
180,168,14,small_disconnected_regions,
180,168,75,small_disconnected_regions,
182,170,75,small_disconnected_regions,
186,174,14,small_disconnected_regions,
187,175,75,small_disconnected_regions,
188,176,75,small_disconnected_regions,
189,177,75,small_disconnected_regions,
190,178,75,small_disconnected_regions,
193,181,14,small_disconnected_regions,
195,183,14,small_disconnected_regions,
196,184,14,small_disconnected_regions,
197,185,14,small_disconnected_regions,
198,186,14,small_disconnected_regions,
199,187,14,small_disconnected_regions,
200,188,14,small_disconnected_regions,
201,189,14,small_disconnected_regions,
202,190,14,small_disconnected_regions,
203,191,14,small_disconnected_regions,
204,192,14,small_disconnected_regions,
205,193,14,small_disconnected_regions,
206,194,14,small_disconnected_regions,
207,195,14,small_disconnected_regions,
208,196,14,small_disconnected_regions,
221,209,38,small_disconnected_regions,
226,214,38,small_disconnected_regions,
227,215,38,small_disconnected_regions,
230,218,38,small_disconnected_regions,
231,219,38,small_disconnected_regions,
243,231,38,small_disconnected_regions,
245,233,38,small_disconnected_regions,
249,237,38,small_disconnected_regions,
250,238,113,small_disconnected_regions,
254,242,38,small_disconnected_regions,
255,243,38,small_disconnected_regions,
256,244,38,small_disconnected_regions,
257,245,38,small_disconnected_regions,
258,246,38,small_disconnected_regions,
260,248,38,small_disconnected_regions,
260,248,75,small_disconnected_regions,
261,249,38,small_disconnected_regions,
266,254,75,small_disconnected_regions,
271,259,38,small_disconnected_regions,
272,260,38,small_disconnected_regions,
272,260,75,small_disconnected_regions,
272,260,113,small_disconnected_regions,
273,261,38,small_disconnected_regions,
273,261,75,small_disconnected_regions,
276,264,38,small_disconnected_regions,
276,264,113,small_disconnected_regions,
277,265,38,small_disconnected_regions,
277,265,113,small_disconnected_regions,
279,267,75,small_disconnected_regions,
279,267,113,small_disconnected_regions,
280,268,75,small_disconnected_regions,
280,268,113,small_disconnected_regions,
281,269,75,small_disconnected_regions,
287,275,75,small_disconnected_regions,
288,276,75,small_disconnected_regions,
291,279,38,small_disconnected_regions,
294,282,38,small_disconnected_regions,
304,292,113,small_disconnected_regions,
320,308,38,small_disconnected_regions,
322,310,38,small_disconnected_regions,
325,313,38,small_disconnected_regions,
405,393,75,small_disconnected_regions,
407,395,75,small_disconnected_regions,
413,401,75,small_disconnected_regions,
414,402,75,small_disconnected_regions,
415,403,75,small_disconnected_regions,
415,403,75,source_correspondence_uncertain,
425,413,75,small_disconnected_regions,
427,415,38,small_disconnected_regions,
