video_frame,gt_frame,gt_id,new_core_pixels,comparable_old_pixels,new_core_disagreements,old_core_pixels,old_core_disagreements,passed
0,0,14,4180,4180,0,3776,0,True
0,0,38,22896,22896,0,21812,0,True
0,0,75,3740,3740,0,3416,0,True
0,0,113,2284,2284,0,2016,0,True
1,1,14,4320,4320,0,3904,0,True
1,1,38,23776,23776,0,22664,0,True
1,1,75,3508,3508,0,3188,0,True
1,1,113,1940,1940,0,1668,0,True
2,2,14,4380,4380,0,3968,0,True
2,2,38,23620,23620,0,22504,0,True
2,2,75,3468,3468,0,3148,0,True
2,2,113,2040,2040,0,1764,0,True
15,3,14,5108,5108,0,4632,0,True
15,3,38,23444,23444,0,22340,0,True
15,3,75,3304,3304,0,3000,0,True
15,3,113,2380,2380,0,2108,0,True
16,4,14,5188,5188,0,4692,0,True
16,4,38,22136,22136,0,21036,0,True
16,4,75,3272,3272,100,2864,0,False
16,4,113,2332,2332,0,2056,0,True
17,5,14,5340,5340,12,4836,0,True
17,5,38,22296,22296,0,21216,0,True
17,5,75,3984,3984,24,3652,0,True
17,5,113,2392,2392,0,2120,0,True
18,6,14,5400,5400,0,4916,0,True
18,6,38,22480,22480,0,21364,0,True
18,6,75,3260,3260,0,2944,0,True
18,6,113,2468,2468,0,2200,0,True
19,7,14,5348,5348,0,4864,0,True
19,7,38,23260,23260,0,22148,0,True
19,7,75,3756,3756,0,3440,0,True
19,7,113,2680,2680,0,2392,0,True
20,8,14,5352,5352,192,4688,0,False
20,8,38,23688,23688,0,22572,0,True
20,8,75,2804,2804,0,2508,0,True
20,8,113,2680,2680,0,2392,0,True
21,9,14,5092,5092,0,4640,0,True
21,9,38,23536,23536,0,22260,0,True
21,9,75,3340,3340,0,3020,0,True
21,9,113,2628,2628,0,2328,0,True
22,10,14,4992,4992,0,4556,0,True
22,10,38,23604,23604,0,22324,0,True
22,10,75,3336,3336,0,3016,0,True
22,10,113,2648,2648,0,2348,0,True
23,11,14,4792,4792,0,4368,0,True
23,11,38,23600,23600,0,22320,0,True
23,11,75,3324,3324,0,3004,0,True
23,11,113,2732,2732,0,2428,0,True
24,12,14,4632,4632,0,4224,0,True
24,12,38,23660,23660,0,22392,0,True
24,12,75,3340,3340,0,3020,0,True
24,12,113,2712,2712,0,2412,0,True
25,13,14,4508,4508,0,4104,0,True
25,13,38,23696,23696,0,22424,0,True
25,13,75,3328,3328,0,3008,0,True
25,13,113,2300,2300,0,2004,0,True
26,14,14,4444,4444,0,4052,0,True
26,14,38,23836,23836,0,22564,0,True
26,14,75,3296,3296,0,2972,0,True
26,14,113,2288,2288,0,1980,0,True
27,15,14,4424,4424,0,4040,0,True
27,15,38,23740,23740,0,22540,0,True
27,15,75,3296,3296,0,2972,0,True
