video_frame,gt_frame,gt_id,area,components,largest_component,touches_edge,centroid_x,centroid_y
0,0,14,5032,1,5032,False,2012.5683624801272,653.3982511923689
0,0,38,25104,1,25104,False,677.942638623327,891.6975780752072
0,0,75,4436,1,4436,False,1553.675834084761,553.1456266907123
0,0,113,2884,2,2860,False,1607.1907073509014,537.1435506241331
1,1,14,5196,1,5196,False,2011.667051578137,655.4299461123942
1,1,38,26036,1,26036,False,678.1177600245813,893.049393147949
1,1,75,4220,2,4172,False,1546.11327014218,554.2838862559241
1,1,113,2508,1,2508,False,1618.9784688995214,535.951355661882
2,2,14,5244,1,5244,False,2012.8035850495805,655.6563691838292
2,2,38,25888,1,25888,False,677.4808405438813,892.8612484548826
2,2,75,4140,1,4140,False,1554.668115942029,553.9415458937198
2,2,113,2628,1,2628,False,1624.603500761035,536.4604261796043
15,3,14,6084,1,6084,False,2011.4506903353058,663.2560815253123
15,3,38,25688,1,25688,False,674.1331360946746,890.0926502647151
15,3,75,3976,2,3940,False,1545.8460764587526,559.6448692152918
15,3,113,2972,1,2972,False,1653.7839838492598,541.5794078061912
16,4,14,6220,2,6204,False,2008.1244372990354,665.4466237942122
16,4,38,24376,1,24376,False,669.9266491631113,886.0907449950771
16,4,75,4064,2,3824,False,1510.1062992125985,560.6692913385826
16,4,113,2920,1,2920,False,1654.4917808219177,541.272602739726
17,5,14,6464,2,6336,False,1987.6769801980197,665.1336633663366
17,5,38,24488,1,24488,False,668.0184580202548,886.3101927474681
17,5,75,4704,3,4604,False,1532.204081632653,555.4897959183673
17,5,113,2976,1,2976,False,1654.752688172043,541.513440860215
18,6,14,6408,2,6396,False,2008.7059925093633,665.7384519350811
18,6,38,24752,1,24752,False,669.7569489334195,887.3842921784099
18,6,75,3972,2,3924,False,1541.4103726082578,558.9813695871097
18,6,113,3088,2,3040,False,1642.7046632124352,542.7150259067357
19,7,14,6348,1,6348,False,2010.744486452426,665.2359798361689
19,7,38,25524,1,25524,False,670.5081491929164,889.5528130387087
19,7,75,4420,1,4420,False,1546.6538461538462,555.2692307692307
19,7,113,3280,1,3280,False,1655.5048780487805,543.6780487804878
20,8,14,6480,2,6136,False,1947.4296296296295,662.3716049382716
20,8,38,25952,1,25952,False,670.4654747225647,890.3452527743526
20,8,75,3476,1,3476,False,1547.8808975834293,557.0523590333717
20,8,113,3280,1,3280,False,1655.8121951219512,543.7463414634146
21,9,14,6024,1,6024,False,2007.8505976095616,667.3884462151394
21,9,38,26220,1,26220,False,671.1578184591915,893.5114416475973
21,9,75,4004,1,4004,False,1546.6178821178821,555.500999000999
21,9,113,3264,1,3264,False,1656.5931372549019,545.2598039215686
22,10,14,5896,1,5896,False,2005.3683853459972,665.7618724559023
22,10,38,26280,1,26280,False,670.8893455098935,893.51400304414
22,10,75,4004,1,4004,False,1546.3661338661339,555.447052947053
22,10,113,3276,1,3276,False,1657.3449328449328,545.7405372405373
23,11,14,5680,1,5680,False,2004.4098591549296,661.1408450704225
23,11,38,26300,1,26300,False,670.6733840304182,893.6516349809885
23,11,75,3996,1,3996,False,1546.1796796796796,555.3608608608608
23,11,113,3364,1,3364,False,1657.7366230677765,546.0719381688466
24,12,14,5480,1,5480,False,2002.7423357664234,660.1481751824817
24,12,38,26328,1,26328,False,670.9673351564874,894.360224855667
24,12,75,4008,1,4008,False,1546.0369261477047,555.2584830339322
24,12,113,3336,1,3336,False,1657.7877697841727,546.257793764988
25,13,14,5340,1,5340,False,2002.7232209737829,659.5876404494383
25,13,38,26364,1,26364,False,670.8811257775754,894.4626763768775
25,13,75,3996,1,3996,False,1546.0655655655655,555.3448448448448
25,13,113,2920,1,2920,False,1657.0945205479452,543.0397260273973
26,14,14,5252,1,5252,False,2004.0491241431835,659.1686976389947
26,14,38,26472,1,26472,False,670.509670595346,894.6749773345422
26,14,75,3980,1,3980,False,1546.1361809045227,555.3984924623115
26,14,113,2932,1,2932,False,1655.3349249658936,544.8929058663028
27,15,14,5216,1,5216,False,2005.7622699386502,659.6426380368098
27,15,38,26248,1,26248,False,672.1589454434624,897.3375495275831
27,15,75,3984,1,3984,False,1546.1425702811246,555.2951807228916
27,15,113,2936,1,2936,False,1651.799727520436,545.2656675749319
28,16,14,5288,1,5288,False,2008.2443267776098,659.0098335854766
28,16,38,26496,1,26496,False,671.2611714975845,897.5244565217391
28,16,75,4008,1,4008,False,1546.0229540918165,555.1047904191616
28,16,113,3000,1,3000,False,1647.796,545.6146666666667
29,17,14,5528,2,5484,False,2003.0224312590449,655.1353111432705
29,17,38,27436,1,27436,False,671.6543956845021,898.124143461146
29,17,75,4212,2,4188,False,1541.9928774928776,555.846628679962
29,17,113,3244,1,3244,False,1644.7983970406906,545.4297163995068
30,18,14,5196,1,5196,False,2014.427636643572,652.658583525789
30,18,38,26760,1,26760,False,670.0844544095665,896.3962630792228
30,18,75,4068,1,4068,False,1545.925762045231,555.0290068829892
30,18,113,3048,1,3048,False,1641.7178477690288,544.1299212598425
31,19,14,4988,1,4988,False,2016.1134723336006,649.547313552526
31,19,38,26828,1,26828,False,669.063888474728,896.4961234531087
31,19,75,4136,1,4136,False,1545.794003868472,555.07833655706
31,19,113,3032,1,3032,False,1639.523746701847,543.1385224274406
32,20,14,4772,1,4772,False,2016.8671416596815,648.08256496228
32,20,38,26952,1,26952,False,668.0983971504897,896.7796081923419
32,20,75,4232,1,4232,False,1545.225897920605,555.1011342155009
32,20,113,3040,1,3040,False,1638.457894736842,543.1078947368421
33,21,14,4748,1,4748,False,2015.8546756529065,648.5202190395956
33,21,38,27348,1,27348,False,666.8504461020916,895.4793769197016
33,21,75,4432,1,4432,False,1543.4711191335741,553.9530685920578
33,21,113,3016,1,3016,False,1637.102122015915,542.6564986737401
34,22,14,4624,1,4624,False,2014.5034602076125,646.9480968858131
34,22,38,27440,2,27432,False,664.9833819241983,895.2586005830904
34,22,75,4304,1,4304,False,1543.224907063197,554.2434944237918
34,22,113,3028,1,3028,False,1636.1354029062088,542.9121532364597
35,23,14,4588,1,4588,False,2011.4102005231036,644.2122929380994
35,23,38,27736,1,27736,False,663.9237092587251,896.9952408422267
35,23,75,4384,1,4384,False,1542.2956204379561,554.1167883211679
35,23,113,3116,1,3116,False,1634.9646983311939,543.1726572528884
36,24,14,4476,1,4476,False,2008.5983020554065,641.1827524575514
36,24,38,27936,1,27936,False,661.8946162657503,899.5483963344788
36,24,75,4328,1,4328,False,1541.938077634011,554.3354898336414
36,24,113,3032,1,3032,False,1635.4050131926122,543.3759894459102
37,25,14,4524,1,4524,False,2006.818302387268,637.9376657824934
37,25,38,28044,1,28044,False,660.7898302667237,901.4821708743403
37,25,75,4336,1,4336,False,1541.3468634686346,554.2841328413284
37,25,113,3012,1,3012,False,1635.3313413014607,543.421646746348
38,26,14,4416,1,4416,False,2005.338768115942,634.5108695652174
38,26,38,26868,1,26868,False,661.616272145303,900.8510495757034
38,26,75,4348,1,4348,False,1541.2746090156393,554.400643974241
38,26,113,3012,1,3012,False,1635.1985391766268,542.1812749003984
39,27,14,4408,1,4408,False,2003.024500907441,633.489110707804
39,27,38,26572,2,26420,False,665.5597621556526,895.6115459882583
39,27,75,4332,1,4332,False,1541.4085872576177,554.5129270544783
39,27,113,3068,1,3068,False,1635.519556714472,542.1949152542373
40,28,14,4336,1,4336,False,2000.9630996309963,633.3007380073801
40,28,38,25596,2,25512,False,669.3760743866229,894.8116111892483
40,28,75,4320,1,4320,False,1541.4518518518519,554.6314814814815
40,28,113,3092,1,3092,False,1635.8712807244501,542.3939197930142
41,29,14,4352,1,4352,False,1997.516544117647,631.4503676470588
41,29,38,24924,1,24924,False,674.2576632964211,891.2921681913016
41,29,75,4416,1,4416,False,1541.8713768115942,556.1050724637681
41,29,113,3236,1,3236,False,1636.0203955500617,543.0834363411619
42,30,14,4124,1,4124,False,1993.3283220174587,628.6338506304559
42,30,38,24036,1,24036,False,679.3543850890331,890.1438675320353
42,30,75,4344,1,4344,False,1541.3839779005525,554.6344383057091
42,30,113,3132,1,3132,False,1635.7234993614304,541.654533844189
43,31,14,4272,1,4272,False,1988.9176029962546,622.8913857677902
43,31,38,23580,1,23580,False,679.7498727735369,885.6742154368109
43,31,75,4664,1,4664,False,1540.8430531732417,554.4811320754717
43,31,113,3432,1,3432,False,1636.2435897435898,542.5466200466201
44,32,14,4180,1,4180,False,1984.790909090909,617.7114832535885
44,32,38,24176,1,24176,False,682.6803441429516,888.5896757114493
44,32,75,4660,1,4660,False,1541.207296137339,554.4536480686695
44,32,113,3448,1,3448,False,1636.1102088167054,543.0800464037123
45,33,14,4084,1,4084,False,1980.797747306562,614.8232125367286
45,33,38,23876,1,23876,False,683.1299212598425,884.2647847210588
45,33,75,4764,1,4764,False,1541.8518052057095,554.0751469353485
45,33,113,3492,1,3492,False,1635.6019473081328,542.8963344788087
46,34,14,4032,1,4032,False,1977.6329365079366,614.1309523809524
46,34,38,24280,1,24280,False,685.6054365733114,885.0927512355848
46,34,75,4816,1,4816,False,1542.1046511627908,554.0598006644518
46,34,113,3476,1,3476,False,1635.1858457997698,542.4470655926352
47,35,14,4032,1,4032,False,1974.188492063492,613.7559523809524
47,35,38,24396,1,24396,False,686.3835874733563,885.6834727004427
47,35,75,4768,1,4768,False,1542.0956375838925,554.0889261744967
47,35,113,3584,1,3584,False,1634.8392857142858,543.046875
48,36,14,3920,1,3920,False,1969.1224489795918,612.2979591836735
48,36,38,24240,1,24240,False,690.257095709571,890.2491749174917
48,36,75,4772,1,4772,False,1542.0138306789606,553.919949706622
48,36,113,3476,1,3476,False,1633.512658227848,542.40333716916
49,37,14,3892,1,3892,False,1963.2687564234327,609.5668036998973
49,37,38,24188,1,24188,False,687.5084339341822,890.7573176781875
49,37,75,4784,1,4784,False,1541.5117056856188,553.6471571906354
49,37,113,3520,1,3520,False,1631.9386363636363,542.4295454545454
50,38,14,3904,1,3904,False,1956.2581967213114,604.0061475409836
50,38,38,24560,1,24560,False,686.3074918566775,893.4478827361563
50,38,75,4728,1,4728,False,1540.9771573604062,553.8333333333334
50,38,113,3492,1,3492,False,1629.9501718213057,542.5297823596793
51,39,14,3884,1,3884,False,1950.370236869207,599.0169927909371
51,39,38,25008,1,25008,False,683.3771593090211,894.8573256557902
51,39,75,4676,1,4676,False,1540.87125748503,554.5615911035072
