block_id,gt_id,n,gt_present,mean_iou_gt_present,error50,error75,expected_empty,missing_visible_bird,false_positive_absent_bird
0,14,653,653,0.7608150822087673,0,255,0,0,0
0,38,651,438,0.2977547277696649,286,328,207,271,6
0,75,637,634,0.8471805670736106,6,42,0,0,3
0,113,682,682,0.8275601531858284,3,96,0,0,0
1,14,714,711,0.8140279520747752,8,111,2,0,1
1,38,720,720,0.8861292295781494,0,19,0,0,0
1,75,669,656,0.6926781621703307,136,173,8,1,5
1,113,690,687,0.8546057415765809,0,27,3,0,0
2,14,704,702,0.5317225786548733,212,404,0,59,2
2,38,699,681,0.9226085712215925,4,7,14,0,4
2,75,718,718,0.6283538366103352,206,211,0,0,0
2,113,678,616,0.6546021663108972,201,214,0,0,62
3,14,735,389,0.8248803802390492,363,396,0,0,346
3,38,690,654,0.8857721086959939,0,2,36,0,0
3,75,700,610,0.7918970685172212,17,126,89,11,1
3,113,713,711,0.7403841542759164,3,448,1,0,1
4,14,738,710,0.7936395617464067,114,196,1,0,27
4,38,688,528,0.3578737751403645,315,348,139,102,21
4,75,714,589,0.6099333542878614,292,307,21,0,104
4,113,734,731,0.8482603501195072,3,102,0,0,3
5,14,63,63,0.8585727720345143,0,0,0,0,0
5,38,62,62,0.7531331380344578,0,40,0,0,0
5,75,60,60,0.8909743186157187,0,0,0,0,0
5,113,63,63,0.8203901524526503,0,0,0,0,0
