video_frame,gt_id,block_id,direction,prompt_frame,distance_from_prompt,is_prompt,continuity_previous_frame,pred_area,A,B,C,C_legacy,combined,empty_baseline,A_reason,area_ratio,centroid_jump,prediction_sha256,reference_status,reference_reasons,gt_frame,primary_eligible,gt_area,gt_present,intersection,union,iou,error50,error75,outcome,absent_substantial_false_positive
0,14,0,earlier,449,449,False,1,7788,0.8949658173718201,0.9517401456832886,0.0,0.0,0.6491858034848614,1.0,ok,1.2100683652563597,8.891881170319381,6e6b811dd07883576c6cef59b21561a2a71c1ce9ae5984fb68e7ce845ab5d988,trusted_screened,,0,True,5032,True,4996,7824,0.6385480572597138,False,True,acceptable_segmentation,False
0,38,0,earlier,449,449,False,1,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,trusted_screened,,0,True,25104,True,0,25104,0.0,True,True,missing_visible_bird,False
0,75,0,earlier,449,449,False,1,4843,0.9976971670634236,0.9785897135734558,0.15509160630592245,0.15509160630592245,0.7372725174401862,1.0,ok,0.9985567008250398,0.34542494048646366,a5457ac58f859d7faf6fb437087e92ae69cd20fabc453828b12f7cd1af283878,trusted_screened,,0,True,4436,True,4143,5136,0.8066588785046729,False,False,acceptable_segmentation,False
0,113,0,earlier,449,449,False,1,2894,0.9649851540086627,0.9871633052825928,0.3013790035587189,0.3013790035587189,0.7747745693832516,1.0,ok,1.036161832783329,5.25222689870059,777380439cd60a6b726257f6e1ab7d8c4992633caa3c007728bc26433dd935d8,uncertain,small_disconnected_regions,0,False,,,,,,,,not_evaluated,
1,14,0,earlier,449,448,False,2,6436,0.9762008071722926,0.9622625112533569,0.0,0.0,0.6777652466530306,1.0,ok,0.9617453674593924,3.569878924156108,999302f3db24b555b7f83716068eb0ec89de40f9114a067a138e902dacea81f0,trusted_screened,,1,True,5196,True,5113,6519,0.7843227488878662,False,False,acceptable_segmentation,False
1,38,0,earlier,449,448,False,2,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,trusted_screened,,1,True,26036,True,0,26036,0.0,True,True,missing_visible_bird,False
1,75,0,earlier,449,448,False,2,4850,0.9943298968041236,0.9758803248405457,0.15657857345836884,0.15657857345836884,0.735624671014966,1.0,ok,0.9887869518881167,0.2632744356611991,747d6885f7b0133be93e3839daf41773aa17cc8a5ed506ba100c86037fe4c280,uncertain,small_disconnected_regions,1,False,,,,,,,,not_evaluated,
1,113,0,earlier,449,448,False,2,2793,0.9573555471082421,0.9874836802482605,0.4044943820224719,0.4044943820224719,0.8035484508385184,1.0,ok,1.0068493147055337,6.39666793376369,0e3d90f9f98cb7583258da90569bb01f8ffd7c4ecd85351776439b7366158e48,trusted_screened,,1,True,2508,True,2444,2857,0.855442772138607,False,False,acceptable_segmentation,False
2,14,0,earlier,449,447,False,3,6692,0.9345487148087268,0.9644379019737244,0.0,0.0,0.6661397752321078,1.0,ok,0.8842494713419332,5.882141511918631,443cae407f46fb5d556f83eb5d9d8d716e8e86a416f65ce30ff67c7f2e0308bc,trusted_screened,,2,True,5244,True,5117,6819,0.7504032849391407,False,False,acceptable_segmentation,False
2,38,0,earlier,449,447,False,3,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,trusted_screened,,2,True,25888,True,0,25888,0.0,True,True,missing_visible_bird,False
2,75,0,earlier,449,447,False,3,4905,0.9988378557077867,0.9758625030517578,0.1579765437332203,0.1579765437332203,0.7373893210530053,1.0,ok,0.9981684979653707,0.17432164383199114,a95432a586376fdc8fa1809cb8e3dfcd3afb4ac454fc693e0d7c3993f7f15ed9,trusted_screened,,2,True,4140,True,4042,5003,0.8079152508494903,False,False,acceptable_segmentation,False
2,113,0,earlier,449,447,False,3,2774,0.9680966112112473,0.9889569878578186,0.48973225890304134,0.48973225890304134,0.832931456177414,1.0,ok,0.9400203317722737,4.759721666737756,b41b584cb3641d619ff0819858417b5c96c5a95b56df1db5db4f2b271e8fefe9,trusted_screened,,2,True,2628,True,2541,2861,0.8881509961551904,False,False,acceptable_segmentation,False
3,14,0,earlier,449,446,False,4,7568,0.9759002770809002,0.9604294896125793,0.0,0.0,0.6769418789693018,1.0,ok,1.0481994458381996,2.4918899590276102,398f7deeb60cd7e3083d6d282005431be1407fd6673b1c70caf9362c612063f2,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
3,38,0,earlier,449,446,False,4,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
3,75,0,earlier,449,446,False,4,4914,0.9939967438949939,0.9797797799110413,0.15810276679841898,0.15810276679841898,0.7375417651724403,1.0,ok,0.9881359338451365,0.8610597944241509,8c2db47eef4b51b9e2a01f6fef44afb82bfd7e49b5091d358850283b7b2082e1,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
3,113,0,earlier,449,446,False,4,2951,0.9762839400864904,0.9864505529403687,0.4788485607008761,0.4788485607008761,0.8311199714123574,1.0,ok,0.9631201041243082,3.557408987026432,fe4724893a026027c8711f89a993c795c6d093cc771885559fc9a70c8fb8799a,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
4,14,0,earlier,449,445,False,5,7220,0.9873615450884179,0.9614830017089844,0.0,0.0,0.6808016642101191,1.0,ok,1.0252769098231642,1.0381643033354966,1472703e013480078d837071a8e864197fb39d3b20c5484519fea2a27bfe3642,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
4,38,0,earlier,449,445,False,5,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
4,75,0,earlier,449,445,False,5,4973,0.9969624833937255,0.9827942848205566,0.15469536053661262,0.15469536053661262,0.7386150671073242,1.0,ok,0.9947989595929587,0.4556274909411683,fa50fd8cca1d0571104bbde773314394c9450224d3d58740850a074d0e131335,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
4,113,0,earlier,449,445,False,5,3064,0.9725303613544929,0.9858658313751221,0.4356223175965665,0.4356223175965665,0.8167921362353666,1.0,ok,0.991264962474518,4.120445796826059,80084f57ea04e15b5ce7da9369b753dcc4407e5e662b0d068246014d8b825c95,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
5,14,0,earlier,449,444,False,6,7042,0.9930417494319795,0.9628005027770996,0.0,0.0,0.6830327259404337,1.0,ok,0.9862745096657879,0.6621668667385828,9aff17d3216abd08d59a8b56c11b3db59ff597c2c5d0af283ff0e35d6bac6df4,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
5,38,0,earlier,449,444,False,6,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
5,75,0,earlier,449,444,False,6,4999,0.9987968719673558,0.9830450415611267,0.15285118219749652,0.15285118219749652,0.7387124328739064,1.0,ok,1.0024062560652884,0.10126592958610564,b7bf921ccc0d6b3f40ba1dc03beb87614b6a68f75b4b7bc132221975e1bb88b6,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
5,113,0,earlier,449,444,False,6,3091,0.9782017577963253,0.9850702285766602,0.38334858188472093,0.38334858188472093,0.8024931933349779,1.0,ok,1.0262284193140012,3.2697363305512033,fabdf239bcb86726106ab8ce16dcb133a9b94c73727238346056c645206a09f9,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
6,14,0,earlier,449,443,False,7,7140,0.9976783453640526,0.9659398794174194,0.0,0.0,0.6856794553761836,1.0,ok,1.0046433092718947,0.14593517116377097,578a5ccbd430a618f77b4a0564a2e142128de022adf9b8530bc374dcdd808d3f,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
6,38,0,earlier,449,443,False,7,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
6,75,0,earlier,449,443,False,7,4987,0.9973795606737796,0.98410964012146,0.1521436525612472,0.1521436525612472,0.738500820019092,1.0,ok,1.0052408786524407,0.2909079014432238,be775b5feee57adc1fd454e28542bf45de113475eb6338be63ea6b4f1640cea4,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
6,113,0,earlier,449,443,False,7,3012,0.9883240317711338,0.9832459092140198,0.35167572463768115,0.35167572463768115,0.7952982906082524,1.0,ok,0.9804687496808371,1.7513952343299342,020422d39b05430a4b0317bb1e3e9c0f9a1927f24cb2809dca857834b00b77af,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
7,14,0,earlier,449,442,False,8,7107,0.9471841942365924,0.9684290885925293,0.0,0.0,0.6715268937079895,1.0,ok,1.1056316115268152,4.69570602357619,63680a61ab61d27200a3e751560d885329e53b159d165e2e3690717672a94e53,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
7,38,0,earlier,449,442,False,8,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
7,75,0,earlier,449,442,False,8,4961,0.9957308397040596,0.9854649305343628,0.15237430167597765,0.15237430167597765,0.7386175146277563,1.0,ok,1.0085383205918808,0.5336635755792402,8400f3299ff671b3b37bab49f2ab49c70b192097446b096b0b9fa226259167b6,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
7,113,0,earlier,449,442,False,8,3072,0.9727085480697877,0.9841054081916809,0.31093716025222873,0.31093716025222873,0.7787358757732772,1.0,ok,1.0545829038604246,3.396686421866987,8d169daf883df21925ea9759a0d3f56f19f2587d79ee5bc7a9d8cc6201de108e,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
8,14,0,earlier,449,441,False,9,6428,0.9355164902769135,0.9674320816993713,0.0,0.0,0.6676277797628226,1.0,ok,0.8857654677021131,5.872195239535736,eded894fb645a1341ea52f06d43422b552f574dd6b127501998e3d0c1495c7c5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
8,38,0,earlier,449,441,False,9,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
8,75,0,earlier,449,441,False,9,4919,0.9834068474094924,0.9847847819328308,0.15311139204944516,0.15311139204944516,0.7348693846108135,1.0,ok,1.0331863051810153,0.49820781204921966,6c275b904a7732b1fd616f7461b7c5cde89628e7417bdc2f8aa317d5ec040d16,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
8,113,0,earlier,449,441,False,9,2913,0.987085758172721,0.9872884154319763,0.2881281544876015,0.2881281544876015,0.7774795399708873,1.0,ok,0.9871230088149363,1.9371362740918385,1a2cf4e8c2ad27d0daa040e818fbeaf17953e32a6ff1de05ef89833269f85020,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
9,14,0,earlier,449,440,False,10,7257,0.9692847741013186,0.9700576066970825,0.0,0.0,0.6788084749092287,1.0,ok,1.0614304517973627,2.6189716166230204,f2ae8d432cbd0f579139d366cf4a9efddc55f1331bc32db682c0df6a66ad619d,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
9,38,0,earlier,449,440,False,10,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
9,75,0,earlier,449,440,False,10,4761,0.9871822491410638,0.986515998840332,0.14850213980028532,0.14850213980028532,0.7353117162185376,1.0,ok,1.0256355017178724,1.2341803764379,9a8c27a7c5351451cbf8f7bb1d748c4b68cf478708a4c2fd1656e6d77c53674d,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
9,113,0,earlier,449,440,False,10,2951,0.9608607250084717,0.9852415323257446,0.2530222693531283,0.2530222693531283,0.7582615112387778,1.0,ok,0.9274041480429277,3.012060993180447,d4e3672921ff628510f641b250228e2747124255e5cf2e70dadbc70b11b53714,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
10,14,0,earlier,449,439,False,11,6837,0.9698874382409673,0.9703038334846497,0.0,0.0,0.6790877648661501,1.0,ok,1.0516843560911113,4.5168842638549025,d5f68cb8ef06b62fdeb347cb13e4d6f1bafc7108333745abea4ff679cd341bbf,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
10,38,0,earlier,449,439,False,11,0,0.0,,,1.0,0.5,0.0,dropout,,,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
10,75,0,earlier,449,439,False,11,4642,0.9708178252382371,0.9871477484703064,0.1352511807642765,0.1352511807642765,0.7266798011888767,1.0,ok,1.005850487322676,4.37732621426443,32ee8553b5da0fbf2206ab4a151ae40add277b4098461e90ced23d81651bd12c,no_gt,no_matching_GT,,False,,,,,,,,not_evaluated,
