outcome,signal,n,available,missing,flags
acceptable_segmentation,A,11485,11485,0,36
acceptable_segmentation,B,11485,11485,0,17
acceptable_segmentation,C,11485,11485,0,7985
acceptable_segmentation,combined,11485,11485,0,0
acceptable_segmentation,empty_baseline,11485,11485,0,0
expected_empty,A,521,521,0,521
expected_empty,B,521,0,521,0
expected_empty,C,521,0,521,0
expected_empty,combined,521,521,0,0
expected_empty,empty_baseline,521,521,0,521
false_positive_absent_bird,A,586,586,0,6
false_positive_absent_bird,B,586,586,0,6
false_positive_absent_bird,C,586,586,0,389
false_positive_absent_bird,combined,586,586,0,0
false_positive_absent_bird,empty_baseline,586,586,0,0
missing_visible_bird,A,444,444,0,444
missing_visible_bird,B,444,0,444,0
missing_visible_bird,C,444,0,444,0
missing_visible_bird,combined,444,444,0,0
missing_visible_bird,empty_baseline,444,444,0,444
segmentation_error,A,1139,1139,0,13
segmentation_error,B,1139,1139,0,10
segmentation_error,C,1139,1139,0,794
segmentation_error,combined,1139,1139,0,0
segmentation_error,empty_baseline,1139,1139,0,0
