cohort,error_definition,signal,cohort_n,n,missing,errors,prevalence,quality_flag_threshold,spearman_quality_iou,roc_auc,average_precision,tp,fp,fn,tn,precision,recall,f1,flag_rate
all_presence_aware,error50,A,14175,14175,0,2169,0.15301587301587302,0.35,-0.03552914421155238,0.5844987065403828,0.25361727693068115,463,557,1706,11449,0.453921568627451,0.21346242508068233,0.29037315772969585,0.07195767195767196
all_presence_aware,error75,A,14175,14175,0,3852,0.27174603174603174,0.35,-0.03552914421155238,0.49577733194957596,0.30118843527492983,471,549,3381,9774,0.46176470588235297,0.12227414330218069,0.1933497536945813,0.07195767195767196
all_presence_aware,error50,B,14175,13210,965,1725,0.13058289174867524,0.95,0.44097225408529267,0.5898031332614059,0.20829117550942639,16,17,1709,11468,0.48484848484848486,0.00927536231884058,0.01820250284414107,0.002498107494322483
all_presence_aware,error75,B,14175,13210,965,3408,0.2579863739591219,0.95,0.44097225408529267,0.6710843150961814,0.4304123716183665,24,9,3384,9793,0.7272727272727273,0.007042253521126761,0.013949433304272014,0.002498107494322483
all_presence_aware,error50,C,14175,13210,965,1725,0.13058289174867524,0.1,-0.08129344693734364,0.5142086022726555,0.1329796409081372,1183,7985,542,3500,0.12903577661431065,0.6857971014492754,0.21720370880381898,0.6940196820590462
all_presence_aware,error75,C,14175,13210,965,3408,0.2579863739591219,0.1,-0.08129344693734364,0.45107892731482413,0.23589467359363964,2092,7076,1316,2726,0.2281849912739965,0.613849765258216,0.3326972010178117,0.6940196820590462
all_presence_aware,error50,combined,14175,14175,0,2169,0.15301587301587302,0.35,0.022939701080817942,0.6076059096623503,0.26516384195592435,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,error75,combined,14175,14175,0,3852,0.27174603174603174,0.35,0.022939701080817942,0.5061675835216183,0.3122466718186221,0,0,3852,10323,,0.0,0.0,0.0
all_presence_aware,error50,empty_baseline,14175,14175,0,2169,0.15301587301587302,0.5,0.2906970122591688,0.5806538293785334,0.21587754325268566,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,error75,empty_baseline,14175,14175,0,3852,0.27174603174603174,0.5,0.2906970122591688,0.5323974864222075,0.2934570318154648,444,521,3408,9802,0.46010362694300516,0.11526479750778816,0.18434710400664314,0.06807760141093475
gt_present,error50,A,13068,13068,0,1583,0.12113559840832568,0.35,-0.03552914421155238,0.6513312290936213,0.4280100231573512,457,36,1126,11449,0.9269776876267748,0.2886923562855338,0.44026974951830444,0.037725742271196815
gt_present,error75,A,13068,13068,0,3266,0.24992347719620447,0.35,-0.03552914421155238,0.5273042806040933,0.3888342249150011,465,28,2801,9774,0.9432048681541582,0.14237599510104104,0.24740622505985635,0.037725742271196815
gt_present,error50,B,13068,12624,444,1139,0.09022496831432193,0.95,0.44097225408529267,0.5897261878779934,0.15223916196501136,10,17,1129,11468,0.37037037037037035,0.00877963125548727,0.017152658662092625,0.0021387832699619773
gt_present,error75,B,13068,12624,444,2822,0.2235424588086185,0.95,0.44097225408529267,0.6813766040312575,0.39361775059036225,18,9,2804,9793,0.6666666666666666,0.0063784549964564135,0.012636012636012635,0.0021387832699619773
gt_present,error50,C,13068,12624,444,1139,0.09022496831432193,0.1,-0.08129344693734364,0.520165402595973,0.09338427432086856,794,7985,345,3500,0.09044310285909557,0.6971027216856892,0.16011292599314378,0.6954214195183777
gt_present,error75,C,13068,12624,444,2822,0.2235424588086185,0.1,-0.08129344693734364,0.4434421857527449,0.20116072826422435,1703,7076,1119,2726,0.19398564756806014,0.6034727143869596,0.2935953797086458,0.6954214195183777
gt_present,error50,combined,13068,13068,0,1583,0.12113559840832568,0.35,0.022939701080817942,0.6710757611551336,0.4247354051380531,0,0,1583,11485,,0.0,0.0,0.0
gt_present,error75,combined,13068,13068,0,3266,0.24992347719620447,0.35,0.022939701080817942,0.5336748452176112,0.3936189934128864,0,0,3266,9802,,0.0,0.0,0.0
gt_present,error50,empty_baseline,13068,13068,0,1583,0.12113559840832568,0.5,0.2906970122591688,0.6402400505369551,0.3676395745970202,444,0,1139,11485,1.0,0.2804801010739103,0.43808584114454857,0.03397612488521579
gt_present,error75,empty_baseline,13068,13068,0,3266,0.24992347719620447,0.5,0.2906970122591688,0.5679730557256583,0.35189346376230524,444,0,2822,9802,1.0,0.1359461114513166,0.2393530997304582,0.03397612488521579
gt_absent,error50,A,1107,1107,0,586,0.5293586269196026,0.35,,0.004266211604095563,0.33043211852261034,6,521,580,0,0.011385199240986717,0.010238907849829351,0.01078167115902965,0.4760614272809395
gt_absent,error75,A,1107,1107,0,586,0.5293586269196026,0.35,,0.004266211604095563,0.33043211852261034,6,521,580,0,0.011385199240986717,0.010238907849829351,0.01078167115902965,0.4760614272809395
gt_absent,error50,B,1107,586,521,586,1.0,0.95,,,,6,0,580,0,1.0,0.010238907849829351,0.02027027027027027,0.010238907849829351
gt_absent,error75,B,1107,586,521,586,1.0,0.95,,,,6,0,580,0,1.0,0.010238907849829351,0.02027027027027027,0.010238907849829351
gt_absent,error50,C,1107,586,521,586,1.0,0.1,,,,389,0,197,0,1.0,0.6638225255972696,0.7979487179487179,0.6638225255972696
gt_absent,error75,C,1107,586,521,586,1.0,0.1,,,,389,0,197,0,1.0,0.6638225255972696,0.7979487179487179,0.6638225255972696
gt_absent,error50,combined,1107,1107,0,586,0.5293586269196026,0.35,,0.011945392491467578,0.3422440957145477,0,0,586,521,,0.0,0.0,0.0
gt_absent,error75,combined,1107,1107,0,586,0.5293586269196026,0.35,,0.011945392491467578,0.3422440957145477,0,0,586,521,,0.0,0.0,0.0
gt_absent,error50,empty_baseline,1107,1107,0,586,0.5293586269196026,0.5,,0.0,0.5293586269196026,0,521,586,0,0.0,0.0,0.0,0.4706413730803975
gt_absent,error75,empty_baseline,1107,1107,0,586,0.5293586269196026,0.5,,0.0,0.5293586269196026,0,521,586,0,0.0,0.0,0.0,0.4706413730803975
common_available,error50,A,13210,13210,0,1725,0.13058289174867524,0.35,-0.1408937507812336,0.5051352425659177,0.14371121045185564,19,36,1706,11449,0.34545454545454546,0.011014492753623189,0.021348314606741574,0.004163512490537472
common_available,error75,A,13210,13210,0,3408,0.2579863739591219,0.35,-0.1408937507812336,0.4564571592651878,0.24842787229273383,27,28,3381,9774,0.4909090909090909,0.007922535211267605,0.01559341611319665,0.004163512490537472
common_available,error50,B,13210,13210,0,1725,0.13058289174867524,0.95,0.44097225408529267,0.5898031332614059,0.20829117550942639,16,17,1709,11468,0.48484848484848486,0.00927536231884058,0.01820250284414107,0.002498107494322483
common_available,error75,B,13210,13210,0,3408,0.2579863739591219,0.95,0.44097225408529267,0.6710843150961814,0.4304123716183665,24,9,3384,9793,0.7272727272727273,0.007042253521126761,0.013949433304272014,0.002498107494322483
common_available,error50,C,13210,13210,0,1725,0.13058289174867524,0.1,-0.08129344693734364,0.5142086022726555,0.1329796409081372,1183,7985,542,3500,0.12903577661431065,0.6857971014492754,0.21720370880381898,0.6940196820590462
common_available,error75,C,13210,13210,0,3408,0.2579863739591219,0.1,-0.08129344693734364,0.45107892731482413,0.23589467359363964,2092,7076,1316,2726,0.2281849912739965,0.613849765258216,0.3326972010178117,0.6940196820590462
common_available,error50,combined,13210,13210,0,1725,0.13058289174867524,0.35,-0.07593743210837497,0.5357484305300549,0.15946817941653943,0,0,1725,11485,,0.0,0.0,0.0
common_available,error75,combined,13210,13210,0,3408,0.2579863739591219,0.35,-0.07593743210837497,0.4686789631894612,0.2626125831472852,0,0,3408,9802,,0.0,0.0,0.0
common_available,error50,empty_baseline,13210,13210,0,1725,0.13058289174867524,0.5,,0.5,0.13058289174867524,0,0,1725,11485,,0.0,0.0,0.0
common_available,error75,empty_baseline,13210,13210,0,3408,0.2579863739591219,0.5,,0.5,0.2579863739591219,0,0,3408,9802,,0.0,0.0,0.0
