cohort,signal,quality_threshold,n,tp,fp,fn,tn,precision,recall,f1,flag_rate
all_presence_aware,A,0.0,14175,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,A,0.1,14175,455,540,1714,11466,0.457286432160804,0.20977408944213924,0.28761061946902655,0.07019400352733686
all_presence_aware,A,0.25,14175,461,548,1708,11458,0.4568880079286422,0.21254034117104656,0.29011957205789807,0.07118165784832452
all_presence_aware,A,0.35,14175,463,557,1706,11449,0.453921568627451,0.21346242508068233,0.29037315772969585,0.07195767195767196
all_presence_aware,A,0.5,14175,479,588,1690,11418,0.44892221180880976,0.22083909635776855,0.29604449938195304,0.07527336860670195
all_presence_aware,A,0.75,14175,535,818,1634,11188,0.3954175905395418,0.24665744582757032,0.3038046564452016,0.09544973544973545
all_presence_aware,A,0.9,14175,667,1948,1502,10058,0.25506692160611855,0.3075149838635316,0.27884615384615385,0.18447971781305114
all_presence_aware,A,0.95,14175,888,3461,1281,8545,0.20418487008507702,0.4094052558782849,0.27247621969929425,0.30680776014109346
all_presence_aware,A,0.975,14175,1238,5736,931,6270,0.17751648981932894,0.5707699400645458,0.2708082686208028,0.4919929453262787
all_presence_aware,A,0.99,14175,1648,8529,521,3477,0.1619337722315024,0.7597971415398801,0.2669690588044711,0.7179541446208113
all_presence_aware,A,1.0,14175,2162,12000,7,6,0.15266205338229064,0.9967727063162748,0.26477251852305433,0.9990828924162257
all_presence_aware,B,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
all_presence_aware,B,0.1,13210,0,0,1725,11485,,0.0,0.0,0.0
all_presence_aware,B,0.25,13210,0,0,1725,11485,,0.0,0.0,0.0
all_presence_aware,B,0.35,13210,0,0,1725,11485,,0.0,0.0,0.0
all_presence_aware,B,0.5,13210,0,0,1725,11485,,0.0,0.0,0.0
all_presence_aware,B,0.75,13210,0,1,1725,11484,0.0,0.0,0.0,7.57002271006813e-05
all_presence_aware,B,0.9,13210,1,3,1724,11482,0.25,0.0005797101449275362,0.001156737998843262,0.0003028009084027252
all_presence_aware,B,0.95,13210,16,17,1709,11468,0.48484848484848486,0.00927536231884058,0.01820250284414107,0.002498107494322483
all_presence_aware,B,0.975,13210,243,559,1482,10926,0.3029925187032419,0.1408695652173913,0.1923229125445192,0.0607115821347464
all_presence_aware,B,0.99,13210,1503,9360,222,2125,0.1383595691797846,0.871304347826087,0.23879885605338416,0.822331566994701
all_presence_aware,B,1.0,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
all_presence_aware,C,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
all_presence_aware,C,0.1,13210,1183,7985,542,3500,0.12903577661431065,0.6857971014492754,0.21720370880381898,0.6940196820590462
all_presence_aware,C,0.25,13210,1286,8712,439,2773,0.128625725145029,0.7455072463768115,0.21939776507719866,0.7568508705526117
all_presence_aware,C,0.35,13210,1401,9240,324,2245,0.13166055821821257,0.8121739130434783,0.22658903444929646,0.8055261165783497
all_presence_aware,C,0.5,13210,1643,9783,82,1702,0.1437948538421145,0.952463768115942,0.24986693027146226,0.8649507948523846
all_presence_aware,C,0.75,13210,1723,10627,2,858,0.13951417004048583,0.998840579710145,0.24483126110124334,0.9348978046934141
all_presence_aware,C,0.9,13210,1725,11199,0,286,0.13347260909935005,1.0,0.23551095637927505,0.9783497350492052
all_presence_aware,C,0.95,13210,1725,11442,0,43,0.13100934153565733,1.0,0.23166800966962128,0.9967448902346707
all_presence_aware,C,0.975,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
all_presence_aware,C,0.99,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
all_presence_aware,C,1.0,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
all_presence_aware,combined,0.0,14175,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,combined,0.1,14175,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,combined,0.25,14175,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,combined,0.35,14175,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,combined,0.5,14175,21,39,2148,11967,0.35,0.009681881051175657,0.018842530282637954,0.004232804232804233
all_presence_aware,combined,0.75,14175,1692,9153,477,2853,0.15601659751037344,0.7800829875518672,0.2600276625172891,0.765079365079365
all_presence_aware,combined,0.9,14175,2154,10999,15,1007,0.16376492055044475,0.9930843706777317,0.28116433885915676,0.9279012345679012
all_presence_aware,combined,0.95,14175,2169,11507,0,499,0.15859900555718046,1.0,0.2737772167876302,0.9647971781305115
all_presence_aware,combined,0.975,14175,2169,11942,0,64,0.15370987173127348,1.0,0.26646191646191647,0.9954850088183421
all_presence_aware,combined,0.99,14175,2169,12006,0,0,0.15301587301587302,1.0,0.2654185022026432,1.0
all_presence_aware,combined,1.0,14175,2169,12006,0,0,0.15301587301587302,1.0,0.2654185022026432,1.0
all_presence_aware,empty_baseline,0.0,14175,0,0,2169,12006,,0.0,0.0,0.0
all_presence_aware,empty_baseline,0.1,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.25,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.35,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.5,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.75,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.9,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.95,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.975,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,0.99,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
all_presence_aware,empty_baseline,1.0,14175,444,521,1725,11485,0.46010362694300516,0.20470262793914246,0.28334396936821954,0.06807760141093475
common_available,A,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,A,0.1,13210,11,19,1714,11466,0.36666666666666664,0.006376811594202898,0.012535612535612535,0.002271006813020439
common_available,A,0.25,13210,17,27,1708,11458,0.38636363636363635,0.009855072463768115,0.01921989824759751,0.0033308099924299773
common_available,A,0.35,13210,19,36,1706,11449,0.34545454545454546,0.011014492753623189,0.021348314606741574,0.004163512490537472
common_available,A,0.5,13210,35,67,1690,11418,0.3431372549019608,0.020289855072463767,0.038314176245210725,0.007721423164269493
common_available,A,0.75,13210,91,297,1634,11188,0.2345360824742268,0.0527536231884058,0.08613345953620445,0.029371688115064347
common_available,A,0.9,13210,223,1427,1502,10058,0.13515151515151516,0.12927536231884057,0.13214814814814815,0.12490537471612415
common_available,A,0.95,13210,444,2940,1281,8545,0.13120567375886524,0.2573913043478261,0.17381092190252495,0.25616956850870554
common_available,A,0.975,13210,794,5215,931,6270,0.13213513063737728,0.4602898550724638,0.20532712697181277,0.45488266464799393
common_available,A,0.99,13210,1204,8008,521,3477,0.13069908814589665,0.6979710144927537,0.22017006491725336,0.6973504920514761
common_available,A,1.0,13210,1718,11479,7,6,0.13018110176555278,0.9959420289855072,0.2302640396729661,0.9990158970476911
common_available,B,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,B,0.1,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,B,0.25,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,B,0.35,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,B,0.5,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,B,0.75,13210,0,1,1725,11484,0.0,0.0,0.0,7.57002271006813e-05
common_available,B,0.9,13210,1,3,1724,11482,0.25,0.0005797101449275362,0.001156737998843262,0.0003028009084027252
common_available,B,0.95,13210,16,17,1709,11468,0.48484848484848486,0.00927536231884058,0.01820250284414107,0.002498107494322483
common_available,B,0.975,13210,243,559,1482,10926,0.3029925187032419,0.1408695652173913,0.1923229125445192,0.0607115821347464
common_available,B,0.99,13210,1503,9360,222,2125,0.1383595691797846,0.871304347826087,0.23879885605338416,0.822331566994701
common_available,B,1.0,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
common_available,C,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,C,0.1,13210,1183,7985,542,3500,0.12903577661431065,0.6857971014492754,0.21720370880381898,0.6940196820590462
common_available,C,0.25,13210,1286,8712,439,2773,0.128625725145029,0.7455072463768115,0.21939776507719866,0.7568508705526117
common_available,C,0.35,13210,1401,9240,324,2245,0.13166055821821257,0.8121739130434783,0.22658903444929646,0.8055261165783497
common_available,C,0.5,13210,1643,9783,82,1702,0.1437948538421145,0.952463768115942,0.24986693027146226,0.8649507948523846
common_available,C,0.75,13210,1723,10627,2,858,0.13951417004048583,0.998840579710145,0.24483126110124334,0.9348978046934141
common_available,C,0.9,13210,1725,11199,0,286,0.13347260909935005,1.0,0.23551095637927505,0.9783497350492052
common_available,C,0.95,13210,1725,11442,0,43,0.13100934153565733,1.0,0.23166800966962128,0.9967448902346707
common_available,C,0.975,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
common_available,C,0.99,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
common_available,C,1.0,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
common_available,combined,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,combined,0.1,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,combined,0.25,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,combined,0.35,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,combined,0.5,13210,21,39,1704,11446,0.35,0.01217391304347826,0.023529411764705882,0.004542013626040878
common_available,combined,0.75,13210,1248,8632,477,2853,0.12631578947368421,0.7234782608695652,0.215079707022835,0.7479182437547313
common_available,combined,0.9,13210,1710,10478,15,1007,0.1403019363308172,0.991304347826087,0.245813268166463,0.9226343679031037
common_available,combined,0.95,13210,1725,10986,0,499,0.13570922822751946,1.0,0.23898586866167915,0.9622255866767601
common_available,combined,0.975,13210,1725,11421,0,64,0.1312186216339571,1.0,0.23199515836191245,0.9951551854655564
common_available,combined,0.99,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
common_available,combined,1.0,13210,1725,11485,0,0,0.13058289174867524,1.0,0.23100100435219284,1.0
common_available,empty_baseline,0.0,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.1,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.25,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.35,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.5,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.75,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.9,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.95,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.975,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,0.99,13210,0,0,1725,11485,,0.0,0.0,0.0
common_available,empty_baseline,1.0,13210,0,0,1725,11485,,0.0,0.0,0.0
