block_id,region,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
0,first_third,850,850,212,0.24941176470588236,212,0.24941176470588236,0.3686868024814382
0,middle_third,939,840,76,0.08093716719914804,69,0.08214285714285714,0.27928087941567553
0,last_third,834,717,7,0.008393285371702638,5,0.00697350069735007,0.18170565653942525
1,first_third,934,918,133,0.1423982869379015,130,0.14161220043572983,0.2685277571805843
1,middle_third,942,939,11,0.01167728237791932,8,0.008519701810436636,0.14617239661228823
1,last_third,917,917,0,0.0,0,0.0,0.14387971692584972
2,first_third,930,930,0,0.0,0,0.0,0.15944437952996066
2,middle_third,926,926,0,0.0,0,0.0,0.13677118845806693
2,last_third,943,861,623,0.6606574761399788,555,0.6445993031358885,0.6807293033375237
3,first_third,908,680,170,0.18722466960352424,32,0.047058823529411764,0.22789448867061152
3,middle_third,973,861,114,0.1171634121274409,2,0.0023228803716608595,0.1981243989821211
3,last_third,957,823,99,0.10344827586206896,1,0.001215066828675577,0.15650409197390786
4,first_third,978,899,549,0.5613496932515337,470,0.5228031145717463,0.5612773464126147
4,middle_third,939,777,121,0.1288604898828541,64,0.08236808236808237,0.20911837491578486
4,last_third,957,882,54,0.05642633228840126,35,0.03968253968253968,0.1804491888191872
5,first_third,84,84,0,0.0,0,0.0,0.1532168570123228
5,middle_third,79,79,0,0.0,0,0.0,0.18298746409096428
5,last_third,85,85,0,0.0,0,0.0,0.17348701682362155
