block_id,gt_id,start,end,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
0,14,0,24,9,9,0,0.0,0,0.0,0.24359254914831865
0,38,0,24,13,13,13,1.0,13,1.0,1.0
0,75,0,24,8,8,0,0.0,0,0.0,0.25600403446791153
0,113,0,24,11,11,0,0.0,0,0.0,0.11901586261440476
0,14,25,49,24,24,0,0.0,0,0.0,0.1492617922996855
0,38,25,49,22,22,22,1.0,22,1.0,1.0
0,75,25,49,24,24,0,0.0,0,0.0,0.22830183995521644
0,113,25,49,25,25,0,0.0,0,0.0,0.11441590083086624
0,14,50,74,25,25,0,0.0,0,0.0,0.18779471236555031
0,38,50,74,25,25,25,1.0,25,1.0,1.0
0,75,50,74,25,25,0,0.0,0,0.0,0.14776243126212754
0,113,50,74,23,23,0,0.0,0,0.0,0.09155167306378172
0,14,75,99,25,25,0,0.0,0,0.0,0.19086288519190137
0,38,75,99,22,22,22,1.0,22,1.0,1.0
0,75,75,99,25,25,0,0.0,0,0.0,0.11830857480407801
0,113,75,99,24,24,0,0.0,0,0.0,0.1070354192521844
0,14,100,124,22,22,0,0.0,0,0.0,0.18412774306425472
0,38,100,124,21,21,21,1.0,21,1.0,1.0
0,75,100,124,25,25,0,0.0,0,0.0,0.07679392798864923
0,113,100,124,25,25,0,0.0,0,0.0,0.163305101502326
0,14,125,149,18,18,0,0.0,0,0.0,0.16363122038652358
0,38,125,149,20,20,20,1.0,20,1.0,1.0
0,75,125,149,20,20,0,0.0,0,0.0,0.13086338099429368
0,113,125,149,25,25,0,0.0,0,0.0,0.15655936177490776
0,14,150,174,19,19,0,0.0,0,0.0,0.20307661362280546
0,38,150,174,21,21,21,1.0,21,1.0,1.0
0,75,150,174,14,14,1,0.07142857142857142,1,0.07142857142857142,0.19691727128555417
0,113,150,174,25,25,0,0.0,0,0.0,0.18973056079276274
0,14,175,199,17,17,0,0.0,0,0.0,0.2304423123134745
0,38,175,199,25,25,25,1.0,25,1.0,1.0
0,75,175,199,15,15,0,0.0,0,0.0,0.22111119835112894
0,113,175,199,25,25,0,0.0,0,0.0,0.2112826666602863
0,14,200,224,16,16,0,0.0,0,0.0,0.19919074823167682
0,38,200,224,24,24,24,1.0,24,1.0,1.0
0,75,200,224,25,25,0,0.0,0,0.0,0.09941133456778711
0,113,200,224,25,25,0,0.0,0,0.0,0.14717210954805512
0,14,225,249,25,25,0,0.0,0,0.0,0.19610258187983387
0,38,225,249,18,18,18,1.0,18,1.0,1.0
0,75,225,249,25,25,0,0.0,0,0.0,0.15468639756519248
0,113,225,249,25,25,0,0.0,0,0.0,0.10373945479999519
0,14,250,274,25,25,0,0.0,0,0.0,0.24194149050503846
0,38,250,274,15,15,15,1.0,15,1.0,1.0
0,75,250,274,21,20,3,0.14285714285714285,2,0.1,0.23230741863923915
0,113,250,274,23,23,0,0.0,0,0.0,0.15695171419878406
0,14,275,299,25,25,0,0.0,0,0.0,0.3184024138099557
0,38,275,299,21,21,21,1.0,21,1.0,1.0
0,75,275,299,20,20,0,0.0,0,0.0,0.12602676238968588
0,113,275,299,21,21,0,0.0,0,0.0,0.26932218459364343
0,14,300,324,25,25,0,0.0,0,0.0,0.26374576773422703
0,38,300,324,23,23,23,1.0,23,1.0,1.0
0,75,300,324,25,25,0,0.0,0,0.0,0.13019739778751513
0,113,300,324,24,24,0,0.0,0,0.0,0.27179453493531414
0,14,325,349,25,25,0,0.0,0,0.0,0.2549568615633695
0,38,325,349,24,0,1,0.041666666666666664,0,,
0,75,325,349,25,25,0,0.0,0,0.0,0.21248524005675828
0,113,325,349,25,25,0,0.0,0,0.0,0.20256781437833674
0,14,350,374,25,25,0,0.0,0,0.0,0.27806376753508644
0,38,350,374,25,0,0,0.0,0,,
0,75,350,374,25,25,0,0.0,0,0.0,0.21766034466561762
0,113,350,374,25,25,0,0.0,0,0.0,0.1873341495611054
0,14,375,399,25,25,0,0.0,0,0.0,0.27946662515198645
0,38,375,399,25,0,0,0.0,0,,
0,75,375,399,25,25,0,0.0,0,0.0,0.1679466804669124
0,113,375,399,25,25,0,0.0,0,0.0,0.2007895764556428
0,14,400,424,25,25,0,0.0,0,0.0,0.24655062289732924
0,38,400,424,25,3,4,0.16,1,0.3333333333333333,0.34247942126739045
0,75,400,424,20,20,0,0.0,0,0.0,0.11903057446868485
0,113,400,424,25,25,0,0.0,0,0.0,0.1556793773485089
0,14,425,449,24,24,0,0.0,0,0.0,0.2526946875405012
0,38,425,449,17,17,3,0.17647058823529413,3,0.17647058823529413,0.2954809617522808
0,75,425,449,20,20,0,0.0,0,0.0,0.1588931620383139
0,113,425,449,23,23,0,0.0,0,0.0,0.24308496038528138
0,14,450,474,25,25,0,0.0,0,0.0,0.2661882020637373
0,38,450,474,25,25,0,0.0,0,0.0,0.2001161181561636
0,75,450,474,22,20,2,0.09090909090909091,0,0.0,0.19363976404182887
