block_id,direction,band,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
0,earlier,near,431,346,7,0.016241299303944315,4,0.011560693641618497,0.2168706151875879
0,earlier,far,379,379,92,0.24274406332453827,92,0.24274406332453827,0.35750891850313676
0,later,near,289,277,11,0.03806228373702422,8,0.02888086642599278,0.2349126749193746
0,later,far,231,231,0,0.0,0,0.0,0.1396657989343117
1,earlier,near,339,336,11,0.032448377581120944,8,0.023809523809523808,0.1621915066275538
1,earlier,far,354,354,81,0.2288135593220339,81,0.2288135593220339,0.3224459503613978
1,later,near,356,356,0,0.0,0,0.0,0.13037098557732063
1,later,far,354,354,0,0.0,0,0.0,0.16033664876053053
2,earlier,near,343,343,0,0.0,0,0.0,0.15121053691371122
2,earlier,far,339,339,0,0.0,0,0.0,0.16328857429527374
2,later,near,351,351,0,0.0,0,0.0,0.14006132580422062
2,later,far,354,290,262,0.7401129943502824,198,0.6827586206896552,0.7073477608282471
3,earlier,near,365,282,83,0.2273972602739726,0,0.0,0.21901667510080333
3,earlier,far,335,283,24,0.07164179104477612,23,0.0812720848056537,0.22405577327755374
3,later,near,360,360,0,0.0,0,0.0,0.17945973909230714
3,later,far,350,310,5,0.014285714285714285,1,0.0032258064516129032,0.12729278300686792
4,earlier,near,300,215,130,0.43333333333333335,75,0.3488372093023256,0.37695873706413796
4,earlier,far,318,242,166,0.5220125786163522,90,0.371900826446281,0.43934660118623364
4,later,near,413,334,8,0.01937046004842615,4,0.011976047904191617,0.14328340034889123
4,later,far,413,338,54,0.13075060532687652,35,0.10355029585798817,0.23751933904823994
5,earlier,near,27,27,0,0.0,0,0.0,0.18227159994810996
5,earlier,far,32,32,0,0.0,0,0.0,0.12629130940455283
5,later,near,32,32,0,0.0,0,0.0,0.1806139181476805
5,later,far,32,32,0,0.0,0,0.0,0.15908529868674265
