block_id,position_bin,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
0,0,234,234,60,0.2564102564102564,60,0.2564102564102564,0.3759234250977985
0,1,272,272,63,0.23161764705882354,63,0.23161764705882354,0.3412795451391761
0,2,251,251,71,0.28286852589641437,71,0.28286852589641437,0.41126077092572183
0,3,264,263,57,0.2159090909090909,56,0.21292775665399238,0.3642743246677469
0,4,296,247,24,0.08108108108108109,23,0.0931174089068826,0.2963496049412872
0,5,279,232,7,0.025089605734767026,4,0.017241379310344827,0.2134721465154048
0,6,289,277,11,0.03806228373702422,8,0.02888086642599278,0.2349126749193746
0,7,270,195,0,0.0,0,0.0,0.1815968559472538
0,8,237,205,2,0.008438818565400843,1,0.004878048780487805,0.20960521994226514
0,9,231,231,0,0.0,0,0.0,0.1396657989343117
1,0,278,278,62,0.22302158273381295,62,0.22302158273381295,0.32100856098289077
1,1,294,294,67,0.22789115646258504,67,0.22789115646258504,0.3315241093785322
1,2,276,260,4,0.014492753623188406,1,0.0038461538461538464,0.1742777392669913
1,3,284,284,0,0.0,0,0.0,0.15444122846608513
1,4,263,260,11,0.04182509505703422,8,0.03076923076923077,0.17174701559394626
1,5,289,289,0,0.0,0,0.0,0.12844616378537024
1,6,275,275,0,0.0,0,0.0,0.13737030671221068
1,7,271,271,0,0.0,0,0.0,0.13939760827992687
1,8,282,282,0,0.0,0,0.0,0.13376173462321558
1,9,281,281,0,0.0,0,0.0,0.15932566542896195
2,0,263,263,0,0.0,0,0.0,0.1666411017284317
2,1,287,287,0,0.0,0,0.0,0.16487953244252812
2,2,289,289,0,0.0,0,0.0,0.14898347748895815
2,3,282,282,0,0.0,0,0.0,0.13037359438341753
2,4,270,270,0,0.0,0,0.0,0.15227778915619058
2,5,294,294,0,0.0,0,0.0,0.1425125389084397
2,6,268,268,0,0.0,0,0.0,0.12753600640800913
2,7,284,284,200,0.704225352112676,200,0.704225352112676,0.7333746488093004
2,8,275,257,210,0.7636363636363637,206,0.8015564202334631,0.8160462675738772
2,9,287,223,213,0.7421602787456446,149,0.6681614349775785,0.6945160502946123
3,0,262,210,11,0.04198473282442748,10,0.047619047619047616,0.20382895786292793
3,1,258,199,71,0.2751937984496124,21,0.10552763819095477,0.25944592323571086
3,2,288,196,63,0.21875,1,0.00510204081632653,0.22305010052405194
3,3,294,221,75,0.25510204081632654,2,0.00904977375565611,0.229726665960509
3,4,291,227,64,0.21993127147766323,0,0.0,0.22003345190174303
3,5,288,288,0,0.0,0,0.0,0.17986757569094505
3,6,299,299,0,0.0,0,0.0,0.17676375553856838
3,7,294,256,38,0.1292517006802721,0,0.0,0.2071529491895006
3,8,284,225,59,0.20774647887323944,0,0.0,0.11839837696102885
3,9,280,243,2,0.007142857142857143,1,0.00411522633744856,0.12824027433570698
4,0,295,222,155,0.5254237288135594,82,0.36936936936936937,0.4392399142161322
4,1,292,288,142,0.4863013698630137,138,0.4791666666666667,0.5491596457337418
4,2,298,298,188,0.6308724832214765,188,0.6308724832214765,0.6483957318271616
4,3,280,209,172,0.6142857142857143,122,0.583732057416268,0.5544406669328605
4,4,284,233,9,0.03169014084507042,4,0.017167381974248927,0.12882495827699908
4,5,290,248,4,0.013793103448275862,0,0.0,0.15697610500574716
4,6,265,265,0,0.0,0,0.0,0.17501363422396712
4,7,287,287,0,0.0,0,0.0,0.13090707758589432
4,8,293,268,0,0.0,0,0.0,0.17394682240357237
4,9,290,240,54,0.18620689655172415,35,0.14583333333333334,0.25811353254850516
5,0,28,28,0,0.0,0,0.0,0.1225379046427317
5,1,24,24,0,0.0,0,0.0,0.15946378742720865
5,2,24,24,0,0.0,0,0.0,0.17321101538391423
5,3,28,28,0,0.0,0,0.0,0.17824374528358441
5,4,19,19,0,0.0,0,0.0,0.18591126174462333
5,5,24,24,0,0.0,0,0.0,0.18277955411739955
5,6,25,25,0,0.0,0,0.0,0.19747942009393596
5,7,24,24,0,0.0,0,0.0,0.18201081876365843
5,8,24,24,0,0.0,0,0.0,0.16734698252996325
5,9,28,28,0,0.0,0,0.0,0.15806945040944906
