block,gt_id,direction,category,start,end,length
0,38,earlier,gt_absent_candidate_expected_absence,327,418,92
0,38,earlier,gt_present_candidate_tracking_loss,0,2,3
0,38,earlier,gt_present_candidate_tracking_loss,15,325,311
0,38,earlier,gt_unavailable,3,14,12
0,38,later,gt_absent_candidate_expected_absence,516,630,115
0,38,later,gt_present_candidate_tracking_loss,632,632,1
1,14,earlier,gt_present_candidate_tracking_loss,922,923,2
1,75,earlier,gt_absent_candidate_expected_absence,928,929,2
1,75,earlier,gt_absent_candidate_expected_absence,931,931,1
1,75,earlier,gt_absent_candidate_expected_absence,933,933,1
1,75,earlier,gt_absent_candidate_expected_absence,935,938,4
1,75,earlier,gt_present_candidate_tracking_loss,920,927,8
1,75,earlier,gt_present_candidate_tracking_loss,930,930,1
1,75,earlier,gt_present_candidate_tracking_loss,932,932,1
1,75,earlier,gt_present_candidate_tracking_loss,934,934,1
1,113,earlier,gt_absent_candidate_expected_absence,922,924,3
2,14,later,gt_present_candidate_tracking_loss,2189,2249,61
2,38,later,gt_absent_candidate_expected_absence,2100,2113,14
3,38,later,gt_absent_candidate_expected_absence,2944,2979,36
3,75,earlier,gt_absent_candidate_expected_absence,2260,2309,50
3,75,earlier,gt_absent_candidate_expected_absence,2391,2429,39
3,75,earlier,gt_present_candidate_tracking_loss,2256,2259,4
3,75,earlier,gt_present_candidate_tracking_loss,2382,2390,9
3,113,earlier,gt_absent_candidate_expected_absence,2250,2250,1
4,14,later,gt_present_candidate_tracking_loss,3414,3414,1
4,38,earlier,gt_absent_candidate_expected_absence,3288,3296,9
4,38,earlier,gt_present_candidate_tracking_loss,3010,3076,67
4,38,earlier,gt_present_candidate_tracking_loss,3248,3287,40
4,38,later,gt_absent_candidate_expected_absence,3338,3411,74
4,38,later,gt_absent_candidate_expected_absence,3650,3705,56
4,38,later,gt_present_candidate_tracking_loss,3412,3413,2
4,75,earlier,gt_absent_candidate_expected_absence,3288,3308,21
